Name,Subject ID
SabbySabs2,97
RonFilipkowski,92
mmpadellan,52
krystalball,87
SteveSchmidtSES,62
TheRickWilson,65
davidsirota,36
TristanSnell,26
natsechobbyist,75
anthonyzenkus,50
briebriejoy,73
kylegriffin1,53
itsJeffTiedrich,51
RealSpikeCohen,14
ComicDaveSmith,15
jimmy_dore,57
BernardKerik,61
TomFitton,83
charliekirk11,58
TuckerCarlson,44
benshapiro,98
elonmusk,29
SarcasmStardust,39
JoJoFromJerz,72
MollyJongFast,64
aaronjmate,59
spiritofho,67
DineshDSouza,90
donaldjtrumpjr,68
