headline,publication_date,people_mentioned,places_mentioned,subjects,organizations,url,abstract,word_count
"U.S. Helicopters Sink 3 Houthi Boats in Red Sea, Pentagon Says",2024-01-01 00:53:23+00:00,,Red Sea; Yemen; Iran; Gaza Strip; Israel,Israel-Gaza War (2023- ); Ships and Shipping; Freight (Cargo); United States Defense and Military Forces; International Relations,Houthis; United States Navy,https://www.nytimes.com/2023/12/31/world/middleeast/us-houthi-clash.html,"Iranian-backed Houthi gunmen from Yemen had fired on American helicopters responding to an attack on a commercial ship, American officials said.",1218
"In Times Square, Hundreds of Thousands Ring In 2024",2024-01-01 02:09:45+00:00,,"Times Square and 42nd Street (Manhattan, NY)","New Year; Demonstrations, Protests and Riots; Israel-Gaza War (2023- ); Two Thousand Twenty Four",,https://www.nytimes.com/2023/12/31/nyregion/times-square-new-years-eve.html,New Year’s celebrations took place as protesters against the Israel-Hamas war staged demonstrations in Midtown Manhattan.,608
"Half of Gazans Are at Risk of Starving, U.N. Warns",2024-01-01 05:01:23+00:00,,Israel; Gaza Strip,Israel-Gaza War (2023- ); Food Insecurity; Palestinians; Refugees and Displaced Persons,Hamas,https://www.nytimes.com/2024/01/01/world/middleeast/gaza-israel-hunger.html,"More than 90 percent of Palestinians in the territory say they have regularly gone without food for a whole day, according to the United Nations.",1513
Monday Briefing,2024-01-01 05:49:05+00:00,,,,,https://www.nytimes.com/2024/01/01/briefing/israel-relationship-ukraine-denmark.html,Friction between the U.S. and Israel.,1107
A New Year’s Energy Boost,2024-01-01 10:57:10+00:00,,,New Year; Sleep,,https://www.nytimes.com/2024/01/01/briefing/new-years-energy-challege.html,"This year, we’re going to feel less tired.",1255
Israel Says It Will Pull Several Brigades From Gaza Strip,2024-01-01 13:44:22+00:00,,Gaza Strip; Israel,Israel-Gaza War (2023- ); Defense and Military Forces; Refugees and Displaced Persons,Hamas,https://www.nytimes.com/2024/01/01/world/middleeast/israel-gaza-troop-withdrawal.html,Analysts say the announcement could signal a shift to the more limited and targeted war against Hamas that the United States has been urging.,1359
That Numbness You’re Feeling? There’s a Word for It.,2024-01-01 14:00:13+00:00,,Israel; Gaza Strip,Empathy; Psychology and Psychologists; Muslim Americans; Jews and Judaism; Israel-Gaza War (2023- ),,https://www.nytimes.com/2024/01/01/opinion/israel-war-empathy-pain.html,Feeling other people’s pain is not the best way to help them — or yourself.,1203
A Gaza Mayor’s View of the Conflict,2024-01-01 16:00:07+00:00,"Putin, Vladimir V",Gaza Strip; Israel; Russia; Ukraine,"Israel-Gaza War (2023- ); Social Media; War Crimes, Genocide and Crimes Against Humanity; Palestinians; Abortion; Abortion Drugs; Anti-Semitism; Russian Invasion of Ukraine (2022); Dogs; Pets; International Relations",Hamas; Supreme Court (US),https://www.nytimes.com/2024/01/01/opinion/letters/gaza-mayor.html,Readers discuss a guest essay about the war’s toll in Gaza. Also: Western businesses in Russia; abortion pill case; dogs and social media.,1184
Tuesday Briefing: Israel’s Top Court Rejects Move to Limit It,2024-01-01 20:41:37+00:00,"Netanyahu, Benjamin","Far East, South and Southeast Asia and Pacific Areas; Japan; United States; China",,,https://www.nytimes.com/2024/01/01/briefing/israel-judicial-overhaul-japan-earthquake-china-us.html,Plus New Year’s offerings to the sea in Brazil.,979
Israel’s Top Court Strikes Down Move to Curb Its Powers,2024-01-01 22:08:55+00:00,"Netanyahu, Benjamin; Levin, Yariv (1969- )",Israel; Gaza Strip,"Decisions and Verdicts; Politics and Government; Israel-Gaza War (2023- ); Law and Legislation; Demonstrations, Protests and Riots",Supreme Court of Israel,https://www.nytimes.com/2024/01/01/world/middleeast/israel-supreme-court-netanyahu.html,"The Supreme Court, by the narrowest of margins, rejected a law pushed by Netanyahu allies that limited its authority to review government decisions.",1338
