headline,publication_date,people_mentioned,places_mentioned,subjects,organizations,url,abstract,word_count
Pro-Palestinian Protesters Rally in Washington,2024-06-09 00:55:26+00:00,"Biden, Joseph R Jr",Gaza Strip; Washington (DC),"Palestinians; Israel-Gaza War (2023- ); Foreign Aid; Demonstrations, Protests and Riots; United States International Relations",,https://www.nytimes.com/video/us/100000009511959/dc-protest-israel-gaza.html,"Demonstrators marched around the White House, calling for President Biden to halt military aid to Israel and demanding an immediate cease-fire in Gaza.",0
Protest Against Gaza War Draws Thousands to the White House,2024-06-09 00:55:27+00:00,"Biden, Joseph R Jr",Israel; Gaza Strip; Washington (DC),"Israel-Gaza War (2023- ); United States International Relations; Demonstrations, Protests and Riots; Palestinians; United States Politics and Government; White House Building (Washington, DC)",,https://www.nytimes.com/2024/06/08/us/politics/white-house-gaza-protest.html,"The demonstration included ringing the White House grounds with a red banner showing the names of the more than 36,000 Palestinians killed during the war.",753
"Your Driving, Tracked",2024-06-09 11:22:08+00:00,,,internal-storyline-no; Mobile Applications; Privacy; Automobile Insurance and Liability; Roads and Traffic; Drunken and Reckless Driving,,https://www.nytimes.com/2024/06/09/briefing/driving-apps-insurance-tracking.html,We explore the apps that are quietly tracking drivers’ habits.,2129
Our Fathers Marched With King. Here’s What They Would Say to Activists Today.,2024-06-09 13:00:08+00:00,"King, Martin Luther Jr; Dresner, Israel S; ABERNATHY, RALPH DAVID",Israel,"Civil Rights Movement (1954-68); Palestinians; Peace Process; Israel-Gaza War (2023- ); Discrimination; Anti-Semitism; Demonstrations, Protests and Riots; Black People; Blacks",Hamas,https://www.nytimes.com/2024/06/09/opinion/mlk-march-race-black-jewish.html,We are turning to the lessons of the interfaith leaders of the civil rights movement.,1354
Israel’s Euphoria Over Hostage Rescue May Be Fleeting,2024-06-09 15:12:14+00:00,"Netanyahu, Benjamin; Gantz, Benny; Biden, Joseph R Jr",Gaza Strip; Israel; Entebbe (Uganda),Israel-Gaza War (2023- ); Palestinians; Civilian Casualties; Kidnapping and Hostages,Hamas,https://www.nytimes.com/2024/06/09/world/middleeast/netanyahu-israel-gaza.html,The operation conducted by Israel’s military to free four hostages resulted in a high death toll among Palestinians and has not resolved the challenges facing the Israeli government.,1360
Gazans Recall ‘Unimaginably Intense’ Israeli Bombing Around Hostage Raid,2024-06-09 15:41:03+00:00,,Gaza Strip; Israel,Israel-Gaza War (2023- ); Civilian Casualties; Kidnapping and Hostages,Hamas,https://www.nytimes.com/2024/06/09/world/middleeast/gaza-hostage-rescue-deaths.html,"As the Israeli military freed four hostages, the surrounding area came under heavy fire, generating chaos and panic, eyewitnesses said.",828
Gantz Quits Israel Government in Dispute With Netanyahu Over Gaza,2024-06-09 17:49:30+00:00,"Gantz, Benny; Netanyahu, Benjamin",Israel; Gaza Strip,Israel-Gaza War (2023- ),,https://www.nytimes.com/2024/06/09/world/middleeast/gantz-quits-israel-netanyahu.html,"The move, though unlikely to force Prime Minister Benjamin Netanyahu from office, exposed the fractures within Israel’s leadership eight months into the war in Gaza.",1053
Benny Gantz Resigns From Israel’s War Cabinet,2024-06-09 21:28:00+00:00,"Gantz, Benny; Netanyahu, Benjamin",Israel; Gaza Strip,Israel-Gaza War (2023- ); Politics and Government,,https://www.nytimes.com/video/world/middleeast/100000009512607/benny-gantz-israel-war-cabinet.html,"Benny Gantz, a centrist figure and a key member of Israel’s war cabinet, said his party was leaving the country’s emergency government over Prime Minister Benjamin Netanyahu’s handling of the war in Gaza.",0
The Other War: How Israel Scours Gaza for Clues About the Hostages,2024-06-09 23:52:38+00:00,,Gaza Strip,Israel-Gaza War (2023- ); Kidnapping and Hostages; Defense and Military Forces; United States International Relations; Espionage and Intelligence Services,Hamas,https://www.nytimes.com/2024/06/09/world/middleeast/gaza-hostage-rescues-israel.html,The rescue of four Israelis in Gaza in a ferocious assault over the weekend offered a glimpse into an ambitious intelligence operation aimed at bringing home those held by Hamas.,1623
Gantz quits Israel’s government in a dispute with Netanyahu over Gaza.,2024-06-10 07:08:45+00:00,"Gantz, Benny; Netanyahu, Benjamin",Gaza Strip; Israel,Israel-Gaza War (2023- ); Palestinians,Hamas,https://www.nytimes.com/2024/06/10/world/middleeast/gantz-quits-israel-netanyahu.html,The resignation exposed the divisions at the top of the Israeli leadership over the future of the war and its aftermath.,253
"As His Political Alliance Breaks Up, Netanyahu Faces a Battle at Home",2024-06-10 10:43:21+00:00,"Gantz, Benny; Netanyahu, Benjamin; Eisenkot, Gadi; Ben-Gvir, Itamar; Smotrich, Bezalel (1980- )",,Israel-Gaza War (2023- ); Politics and Government,Likud Party (Israel),https://www.nytimes.com/2024/06/10/world/middleeast/netanyahu-gantz-resigns-israel.html,The Israeli prime minister is likely to become more dependent on the right-wing partners in his coalition government after the centrist Benny Gantz and his party pulled out of it.,1286
"The Israeli Hostage Rescue, and the Cost",2024-06-10 15:17:12+00:00,"Trump, Donald J; Roberts, John G Jr",Israel,Israel-Gaza War (2023- ); Kidnapping and Hostages; Terrorism; Palestinians; Civilian Casualties; United States Politics and Government; Mental Health and Disorders; Psychology and Psychologists; Decisions and Verdicts; Pollution; Oil (Petroleum) and Gasoline; Grief (Emotion); Butterflies and Moths,Supreme Court (US),https://www.nytimes.com/2024/06/10/opinion/israel-gaza-hostages-rescue.html,Responses to the military raid and the carnage in Gaza. Also: A Trump assessment; John Roberts’s legacy; abandoned oil wells; a grief memorial.,1154
Gazans Describe Deadly Israeli Raid in Nuseirat,2024-06-10 16:40:19+00:00,,Gaza Strip; Israel; Nuseirat (Gaza Strip),Palestinians; Israel-Gaza War (2023- ); Civilian Casualties; Defense and Military Forces,,https://www.nytimes.com/video/world/middleeast/100000009513256/gaza-nuseirat-hostages-raid.html,"Palestinians pleaded for an end to the war in Gaza after an Israeli raid to release hostages in the Nuseirat area in central Gaza left more than 200 people dead, according to Palestinian health officials.",0
Israel’s Economy Is Not Invincible,2024-06-10 19:00:03+00:00,"Netanyahu, Benjamin; Bennett, Naftali; Herzog, Werner",Israel,internal-sub-only-nl,Hamas; Hezbollah,https://www.nytimes.com/2024/06/10/opinion/israel-economy-gaza.html,"The country’s leaders insist on its strength, but economists are warning of serious vulnerabilities.",1520
