values,values0,values1,values2,values3,Sum,PosScore,NegScore,NeuScore,Sociability_dict,Sociability_dir,Morality_dict,Morality_dir,Ability_dict,Ability_dir,Agency_dict,Agency_dir,health_dict,health_dir,Status_dict,Status_dir,work_dict,work_dir_dummy,Politics_dict,Politics_dir,Religion_dict,Religion_dir,beliefsother_dict,beliefsother_dir_dummy,inhabitant_dict,country_dict,feeling_dict,relative_dict,clothing_dict,ordinariness_dict,ordinariness_dir,bodpart_dict,bodprop_dict,skin_dict,bodcov_dict,beauty_dict,beauty_dir,insults_dict,stem_dict,humanities_dict,art_dict,socialgroups_dict,Lacksknowledge_dict,fortune_dict
meteoric,meteoric,meteoric,meteoric,meteoric,1,0,0.12,0.88,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,0,0,0,0,0
meteorologic,meteorologic,meteorologic,meteorologic,meteorologic,1,0,0.12,0.88,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,0,0,0,0,0
meteorological,meteorological,meteorological,meteorological,meteorological,1,0,0.12,0.88,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,0,0,0,0,0
meteorologist,meteorologist,meteorologist,meteorologist,meteorologist,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,0,0,0,0,0
meteorology,meteorology,meteorology,meteorology,meteorology,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,0,0,0,0,0
methodological,methodological,methodological,methodological,methodological,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,0,0,0,0,0
metrics,metrics,metrics,metric,metric,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,1,0,0,0,0
metrological,metrological,metrological,metrological,metrological,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,0,0,0,0,0
metrology,metrology,metrology,metrology,metrology,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,0,0,0,0,0
metropolis,metropolis,metropolis,metropolis,metropoli,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
mexico,mexico,mexico,mexico,mexico,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
mezzotint,mezzotint,mezzotint,mezzotint,mezzotint,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,1,0,0,0
microbiology,microbiology,microbiology,microbiology,microbiology,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,0,0,0,0,0
microeconomics,microeconomics,microeconomics,microeconomics,microeconomic,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,0,0,0,0,0
micronesia,micronesia,micronesia,micronesia,micronesia,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
microscopist,microscopist,microscopist,microscopist,microscopist,1,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,0,0,0,0,0
middling,middling,middling,middling,middling,1,0.25,0.62,0.13,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,1,1,0,0,0,0,0,NA,0,0,0,0,0,0,0
middy,middy,middy,middy,middy,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,1,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
midland,midland,midland,midland,midland,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
midwest,midwest,midwest,midwest,midwest,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
midwestern,midwestern,midwestern,midwestern,midwestern,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
midwife,midwife,midwife,midwife,midwife,1,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
midwifery,midwifery,midwifery,midwifery,midwifery,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,0,0,0,0,0
migrant,migrant,migrant,migrant,migrant,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
migrant worker,migrant worker,migrantworker,migrantworker,migrantworker,1,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
military,military,military,military,military,1,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
military personnel,military personnel,militarypersonnel,militarypersonnel,militarypersonnel,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
militiaman,militiaman,militiaman,militiaman,militiaman,1,0,0.12,0.88,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
milkmaid,milkmaid,milkmaid,milkmaid,milkmaid,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
milkman,milkman,milkman,milkman,milkman,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
miller,miller,miller,miller,miller,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
millinery,millinery,millinery,millinery,millinery,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,1,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
millwright,millwright,millwright,millwright,millwright,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
mimer,mimer,mimer,mim,mim,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,1,0,0,0
mime,mime,mime,mime,mime,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,1,0,0,0
mimetic,mimetic,mimetic,mimetic,mimetic,1,0.62,0,0.38,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
mimic,mimic,mimic,mimic,mimic,1,0.08,0.12,0.8,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,1,0,0,0
mimicry,mimicry,mimicry,mimicry,mimicry,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,1,0,0,0
minder,minder,minder,minder,minder,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
mine,mine,mine,mine,mine,1,0,0.12,0.88,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
miner,miner,miner,miner,miner,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
mineralogist,mineralogist,mineralogist,mineralogist,mineralogist,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,0,0,0,0,0
mineralogy,mineralogy,mineralogy,mineralogy,mineralogy,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,0,0,0,0,0
mineworker,mineworker,mineworker,mineworker,mineworker,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
mini,mini,mini,mini,mini,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,1,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
miniature,miniature,miniature,miniature,miniature,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,1,0,0,0
miniaturist,miniaturist,miniaturist,miniaturist,miniaturist,1,0.5,0,0.5,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,1,0,0,0
mining geology,mining geology,mininggeology,mininggeology,mininggeology,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,0,0,0,0,0
miniskirt,miniskirt,miniskirt,miniskirt,miniskirt,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,1,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
minister,minister,minister,minister,minister,1,0,0.06,0.94,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
ministerial,ministerial,ministerial,ministerial,ministerial,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
mink,mink,mink,mink,mink,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,1,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
mink coat,mink coat,minkcoat,minkcoat,minkcoat,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,1,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
minstrelsy,minstrelsy,minstrelsy,minstrelsy,minstrelsy,1,0.12,0,0.88,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
minuet,minuet,minuet,minuet,minuet,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,1,0,0,0
Minuteman,minuteman,minuteman,minuteman,minuteman,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
mischance,mischance,mischance,mischance,mischance,1,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,1
misfortune,misfortune,misfortune,misfortune,misfortune,1,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,1
mishap,mishap,mishap,mishap,mishap,1,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,1
missis,missis,missis,missis,missi,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,1,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
missionary position,missionary position,missionaryposition,missionaryposition,missionaryposition,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,1,0,0,0,NA,0,0,0,0,0,0,0
missus,missus,missus,missus,missu,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,1,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
miter,miter,miter,miter,miter,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,1,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
mitre,mitre,mitre,mitre,mitre,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,1,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
mitten,mitten,mitten,mitten,mitten,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,1,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
mixologist,mixologist,mixologist,mixologist,mixologist,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
mobile,mobile,mobile,mobile,mobile,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,1,0,0,0
mode,mode,mode,mode,mode,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
modernist,modernist,modernist,modernist,modernist,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,1,0,0,0
mohawk,mohawk,mohawk,mohawk,mohawk,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,1,0,NA,0,0,0,0,0,0,0
mohawk haircut,mohawk haircut,mohawkhaircut,mohawkhaircut,mohawkhaircut,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,1,0,NA,0,0,0,0,0,0,0
moil,moil,moil,moil,moil,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
molder,molder,molder,molder,molder,1,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
molding,molding,molding,molding,molding,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,1,0,0,0
moldova,moldova,moldova,moldova,moldova,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
molecular biologist,molecular biologist,molecularbiologist,molecularbiologist,molecularbiologist,1,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,0,0,0,0,0
molecular biology,molecular biology,molecularbiology,molecularbiology,molecularbiology,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,0,0,0,0,0
molecular genetics,molecular genetics,moleculargenetics,moleculargenetics,moleculargenetic,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,0,0,0,0,0
mom,mom,mom,mom,mom,1,0.88,0,0.12,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,1,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
momma,momma,momma,momma,momma,1,0.88,0,0.12,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,1,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
mommy,mommy,mommy,mommy,mommy,1,0.88,0,0.12,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,1,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
monaco,monaco,monaco,monaco,monaco,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
monetarist,monetarist,monetarist,monetarist,monetarist,1,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,0,0,0,0,0
mongolia,mongolia,mongolia,mongolia,mongolia,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
monistic,monistic,monistic,monistic,monistic,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
monitor,monitor,monitor,monitor,monitor,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
monkey,monkey,monkey,monkey,monkey,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
monochrome,monochrome,monochrome,monochrome,monochrome,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,1,0,0,0
monogamist,monogamist,monogamist,monogamist,monogamist,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,1,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
monogamous,monogamous,monogamous,monogamous,monogamou,1,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,1,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
monogamy,monogamy,monogamy,monogamy,monogamy,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,1,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
monotype,monotype,monotype,monotype,monotype,1,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,1,0,0,0
monozygotic twin,monozygotic twin,monozygotictwin,monozygotictwin,monozygotictwin,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,1,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
montenegro,montenegro,montenegro,montenegro,montenegro,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
mooch,mooch,mooch,mooch,mooch,1,0.5,0,0.5,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
moon,moon,moon,moon,moon,1,0,0.12,0.88,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
moonlight,moonlight,moonlight,moonlight,moonlight,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
moonlighter,moonlighter,moonlighter,moonlighter,moonlighter,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
mop,mop,mop,mop,mop,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
mope,mope,mope,mope,mope,1,0,0.21,0.79,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
mopper,mopper,mopper,mopper,mopper,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
mop up,mop up,mopup,mopup,mopup,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
moral philosophy,moral philosophy,moralphilosophy,moralphilosophy,moralphilosophy,1,0.5,0,0.5,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,1,0,0,0,0
morocco,morocco,morocco,morocco,morocco,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
morphologic,morphologic,morphologic,morphologic,morphologic,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,0,0,0,0,0
morphological,morphological,morphological,morphological,morphological,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,0,0,0,0,0
morphology,morphology,morphology,morphology,morphology,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,0,0,0,0,0
morris dance,morris dance,morrisdance,morrisdance,morrisdance,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,1,0,0,0
morris dancing,morris dancing,morrisdancing,morrisdancing,morrisdancing,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,1,0,0,0
mortarboard,mortarboard,mortarboard,mortarboard,mortarboard,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,1,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0
