Poster,Date,Tweet,No of Likes,No of Retweets,No of Replies,No of Views
ComicDaveSmith,"August 19, 2024 12:57 AM",Live Israel/Palestine debate starting right now,510,54,69,59400
ComicDaveSmith,"August 21, 2024 01:02 PM","For the amount of times it’s been demanded that I condemn this kid and having never done it, you’d think if he were going to come out and criticize me, he would at least have something to say other than “look at this guy believing in freedom while being Jewish.”  For the record,",5891,287,399,980077
ComicDaveSmith,"August 20, 2024 11:24 PM",So now we’re all going to pretend that Dave Smith is THE redpilled guy and not a libertarian Jew who is willing to talk about neocons and deflect accusations of antisemitism?  I like him but let’s be honest.,3825,421,216,208082
ComicDaveSmith,"March 18, 2024 10:05 PM","Is there a dumber or more pathetically dishonest argument than @RabbiBarclay ‘s here?  What the hell does “self hating” even mean? I don’t hate myself. I’m awesome.  Jews are a people. Israel is a government. I can believe that what Israel is doing, and has done, to the",329,33,9,25583
ComicDaveSmith,"April 14, 2024 11:08 PM","I don’t think there’s anything secret about it. Anyone can read “A clean break’ A major contributing factor to the neocons desire to remove Saddam was Israeli interests. And they were openly supportive of the war. Of course, that doesn’t absolve anyone.  My point is more that",2045,130,126,170718
ComicDaveSmith,"April 24, 2024 12:04 AM","I’m sorry but it is just incredibly dishonest for @bungarsargon to claim that @cenkuygur and I said anything that resembles what Israel is doing is what ought to be the response to 10/7. Anyone who watched the debate knows this is BS. I’m disappointed in her, @wethefifth",339,19,26,12045
ComicDaveSmith,"November 25, 2023 03:15 PM","Picking and choosing quotes to serve your opinion. Yitzhak Rabin, who was the IDF Cied of Staff, didnt function most of the 6 Day War because he was in deep depression because he thought that would be the end of Israel. Dayan had to step in.",412,30,28,58769
ComicDaveSmith,"April 22, 2024 11:52 PM","@ComicDaveSmith, the reason Jewish people call you a self-hating Jew is because youre completely quite on the ""protests"" on college campuses that are straight up calling for ""more Oct 7th 10,000 times"", &""Go home to Poland Jew"".  Youre vocal on many things, why quite on this?",1780,175,97,91019
ComicDaveSmith,"November 30, 2023 12:02 AM","Because Israelis have built a home there for generations. Both the PLO and even Hamas have accepted those terms at different points and it just seems like the best, most reasonable compromise.",339,19,26,12046
RBReich,"February 16, 2024 12:15 AM","I’m Jewish. I detest Hamas. I know what it’s like to have family members murdered because of their beliefs and ethnicity.  Which is why I take social justice and human rights so seriously.  And why I, like millions of others, am committed to a ceasefire in Gaza.",8720,2323,360,224217
RBReich,"March 18, 2024 12:00 AM",It’s time for all of us who care about human rights to demand a ceasefire in Gaza. Now.,2416,799,196,67151
theintercept,"January 13, 2024 02:10 AM","The New York Times, LA Times, and Washington Post paid little attention to the unprecedented impact of Israels siege and bombing campaign on both children and journalists in the Gaza Strip, according to The Intercepts analysis of their coverage.",1203,622,47,79003
theintercept,"January 18, 2024 04:52 AM","Israel has killed more than 24,000 people and wounded another 61,000+ in Gaza. Bernie Sanders forced a vote on directing the State Department to look into the damage, opening up the possibility for the U.S. to limit aid to Israel.   The Senate shut it down.",309,127,16,27931
theintercept,"October 26, 2023 05:18 PM","The Misgav Institute for National Security & Zionist Strategy published a paper last week stating that thanks to the vicious Hamas attacks of October 7, “There is currently a unique and rare opportunity to evacuate the entire Gaza Strip.”",378,316,22,52820
theintercept,"January 12, 2024 11:01 PM","Facing international charges of genocide, Israeli officials said they’ll be ramping down their wide-scale assault on Gaza.  Nevertheless, Israel continued dropping bombs on ambulances, hospitals, and Doctors Without Borders shelters this week.",184,122,5,15420
theintercept,"December 03, 2023 03:36 AM","“The IDF didn’t anticipate that there would be this much backlash to Israel. And, with the prospect of an even longer-term ceasefire, are putting together an all-hands-on-deck PR blitz to keep senators at bay.”",216,126,18,26822
theintercept,"November 01, 2023 04:18 PM","“It’s just a slow death, just waiting to die. There’s no food, they get water now four hours a day, no electricity. It’s horrifying. What’s happening is literally slow death.”  Maram Al-Dada joins @ryangrim to discuss his family’s experience in Gaza.",190,153,5,22204
theintercept,"January 27, 2024 04:22 PM","“My family is being killed on my dime,” @gazamom told the court. “President Biden could, with one phone call, put an end to this.”",675,310,34,44019
theintercept,"October 23, 2023 09:03 PM",“It’s not too late to change your stance and stand on the righteous side of history.”  Sixteen former campaign staffers for Sen. John Fetterman penned an open letter urging him to support an Israel-Hamas ceasefire.  Read more here.,380,112,44,70879
theintercept,"January 12, 2024 12:31 AM","""If we lived in a just society.  U.S. officials would be appearing in international war crimes tribunals alongside the Israeli leaders whose criminal actions they are facilitating in every measurable manner,"" writes @jeremyscahill.",452,183,10,44593
theintercept,"December 29, 2023 01:47 PM","We might not like it, but as Americans, our money is paying for Israel’s atrocities in Gaza.  Jon @Schwarz calculated how much of his money the U.S. sent to kill Palestinians. You can, too.",597,362,35,36769
theintercept,"July 24, 2024 11:21 PM",Netanyahu Insulted and Smeared the Pro-Palestine Protest Movement. Congress Clapped.  by @jonahmv,305,130,46,53713
theintercept,"March 15, 2024 08:52 PM",.@premthakker asked the State Department about the hundreds of thousands of children suffering in Gaza to the point of wanting to take their own lives — and whether there’s concern Israel’s war on Gaza may radicalize an entire generation of Palestinians.  Here’s what they said:,212,95,31,79362
theintercept,"January 16, 2024 01:32 AM","Despite Israel’s war on Gaza being perhaps the deadliest war for children — almost entirely Palestinian — in modern history, there is scant mention of the word “children” in the headlines of articles surveyed by The Intercept.",625,384,11,34519
theintercept,"January 18, 2024 05:29 PM","“What we’re seeing every single day in Gaza is gut-wrenching,” Antony Blinken told New York Times columnist Thomas Friedman at an event in Davos, Switzerland, as though he has not been one of the premiere enablers of the destruction of Gaza.",344,135,15,23897
theintercept,"July 19, 2024 09:15 PM",The ICJ Ruling Confirms What Palestinians Have Been Saying for 57 Years  by @jonahmv,2692,1382,53,114074
TheRickWilson,"July 31, 2024 01:21 PM","If you think its bad thing that the leaders of Hamas and Hezbollah got whacked yesterday, just unfollow.",3334,315,90,77274
TheRickWilson,"September 14, 2024 07:47 PM","No, he doesnt.   This is a war of aggression and genocide targeting civilians brought about by Vladimir Putin and his corrupt regime, and hes clearly fine with it.",1634,304,47,95900
TheRickWilson,"April 13, 2024 09:47 PM",Russia’s ally Iran is attacking Israel.  MAGA brain melt imminent.,599,192,76,60907
TheRickWilson,"October 31, 2023 11:51 AM","They put ""Israeli"" in quotes for a little more license to attack and dehumanize them. …",2311,218,29,48497
FreemansMind96,"March 26, 2024 08:29 PM",It is blood libel and BS to say Israel is using starvation as a tool of war.,335,33,18,113951
nbcnews,"November 06, 2023 03:00 AM","Rep. Rashida Tlaib is facing backlash from some her fellow Democrats, including from her state of Michigan, over her recent remarks about Palestinians amid the ongoing war between Israel and Hamas.",275,92,285,88421
nbcnews,"October 08, 2023 10:30 AM","How did the U.S. and Israel miss what Hamas was planning?  The surprise attack by air, land and sea suggests a massive intelligence failure as the Israeli government appeared blindsided.",237,83,320,110252
