headline,publication_date,people_mentioned,places_mentioned,subjects,organizations,url,abstract,word_count
The Year in People: Our 12 Favorite Saturday Profiles of 2023,2023-12-29 10:03:55+00:00,"Atae, Shinjiro; Carter, Dan (Mayor); Coroy, Maria Mercedes; Fritz, Johannes (Biologist); Hwang In-suk; LaFlamme, Lisa; Luhova, Halyna; Nashenas, Sadiq Fitrat; Zikode, Nomcebo",,Content Type: Personal Profile,,https://www.nytimes.com/2023/12/29/world/asia/best-saturday-profiles-2023.html,"From a Nobel Peace Prize winner, to a mayor hunted by the Russians, to a poet whose muses are cats, our profiles featured people shaping the world around them, often under the radar.",1297
Overlooked Stories of 2023,2023-12-29 11:46:07+00:00,,,internal-storyline-no; Two Thousand Twenty Three; News and News Media,New York Times Company,https://www.nytimes.com/2023/12/29/briefing/overlooked-stories-from-2023.html,A selection of stories that Times editors thought deserved more readers.,1388
U.N. Says Israeli Forces Fired on Aid Convoy in Central Gaza,2023-12-29 14:15:21+00:00,,Gaza Strip; Israel,Israel-Gaza War (2023- ); Humanitarian Aid,United Nations Relief and Works Agency,https://www.nytimes.com/2023/12/29/world/middleeast/un-israel-gaza-aid.html,"The convoy, whose vehicles were marked with U.N. insignia, was returning from delivering aid, including flour. No one was injured.",678
Pentagon’s New Plans to Reduce Civilian Deaths Leave Questions Over Israel,2023-12-29 16:10:14+00:00,"Austin, Lloyd J III; Biden, Joseph R Jr",Israel; Gaza Strip,Civilian Casualties; United States Defense and Military Forces; Israel-Gaza War (2023- ); United States International Relations,Defense Department,https://www.nytimes.com/2023/12/29/us/politics/military-civilian-deaths.html,The document codifies procedures for U.S. combat but does not address operations the United States supports through military aid alone.,1209
Does Israel Need ‘Tough Love’ From the U.S.?,2023-12-29 18:22:28+00:00,"Friedman, Thomas L; Sinwar, Yehya",Gaza Strip; Israel,Israel-Gaza War (2023- ); Civilian Casualties; Child Labor; Peace Process; Palestinians; International Relations; Knitting and Knit Goods; Labor and Jobs; Illegal Immigration; Affordable Housing; Real Estate and Housing (Residential),Hamas; Palestine Liberation Organization; Palestinian Authority,https://www.nytimes.com/2023/12/29/opinion/letters/israel-tough-love.html,Readers react to a column by Thomas L. Friedman and a news story. Also: Dangerous child labor; windowless bedrooms; healing power of knitting.,1133
Israeli Military Releases New Details on Killing of 3 Hostages,2023-12-29 21:46:33+00:00,,Israel,Israel-Gaza War (2023- ); Kidnapping and Hostages,,https://www.nytimes.com/2023/12/29/world/middleeast/hostage-killings-israel-military.html,"In the latest disclosure on the shooting by Israeli soldiers of three hostages, the military said 15 minutes elapsed between the killing of the first two and the third.",707
"As Revelers Gather for the New Year’s Eve Ball Drop, N.Y.C. Officials Are on Alert",2023-12-29 21:55:27+00:00,"Adams, Eric L","Times Square and 42nd Street (Manhattan, NY); New York City","New Year; Demonstrations, Protests and Riots; Police; Israel-Gaza War (2023- )",Police Department (NYC),https://www.nytimes.com/2023/12/29/nyregion/new-years-eve-times-square-security.html,"Amid near-daily protests in the city, officials said there were “no specific credible threats” related to the annual ball drop in Times Square.",722
South Africa accuses Israel of genocide in a U.N. court.,2023-12-29 22:30:15+00:00,,Gaza Strip,"Israel-Gaza War (2023- ); War Crimes, Genocide and Crimes Against Humanity; War and Armed Conflicts; Palestinians",Hamas; International Court of Justice (UN); International Criminal Court,https://www.nytimes.com/2023/12/29/world/middleeast/south-africa-israel-genocide.html,Israel’s Foreign Ministry said the filing was a “despicable and contemptuous exploitation of the court.”,384
Displaced Gazans in the South Facing Dangers They Had Sought to Escape,2023-12-29 22:33:39+00:00,,Israel; Gaza Strip; Rafah (Gaza Strip); South Africa,"Israel-Gaza War (2023- ); Defense and Military Forces; Palestinians; Refugees and Displaced Persons; Civilian Casualties; Terrorism; Humanitarian Aid; War Crimes, Genocide and Crimes Against Humanity; International Relations",Hamas; International Court of Justice (UN),https://www.nytimes.com/2023/12/29/world/middleeast/gaza-south-hospital.html,Many residents feel that no place is safe after an airstrike in an area of southern Gaza where Israel had ordered people to seek shelter.,1128
Where Was the Israeli Military?,2023-12-30 05:01:43+00:00,"Netanyahu, Benjamin",Israel; Gaza Strip,Israel-Gaza War (2023- ); Defense and Military Forces; Espionage and Intelligence Services; Jews and Judaism; Civilian Casualties; Terrorism; Palestinians; Politics and Government; vis-video,Hamas,https://www.nytimes.com/2023/12/30/world/middleeast/israeli-military-hamas-failures.html,A Times investigation found that troops were disorganized and out of position and relied on social media to choose targets. Behind the failure: Israel had no battle plan for a massive Hamas invasion.,2879
Biden Administration Again Bypasses Congress for Weapons Sale to Israel,2023-12-30 11:33:49+00:00,"Blinken, Antony J; Biden, Joseph R Jr",Israel; United States; Gaza Strip,United States Politics and Government; Israel-Gaza War (2023- ); Arms Trade,,https://www.nytimes.com/2023/12/30/world/middleeast/biden-us-israel-weapons-sale.html,The move comes as Israel presses on with its offensive in Gaza despite increasing pressure from the United States to lower the conflict’s intensity.,498
An Israeli hostage describes her time in captivity in searing detail.,2023-12-30 19:41:20+00:00,,Gaza Strip,Israel-Gaza War (2023- ); Kidnapping and Hostages; War and Armed Conflicts,Hamas,https://www.nytimes.com/2023/12/30/world/middleeast/hostage-israel-hamas-gaza.html,An account of being held for 55 days in Gaza has touched a particular nerve in Israel.,579
"Conflict in Israel and Gaza, in Photos",2023-12-30 22:49:08+00:00,,Israel; Gaza Strip,Israel-Gaza War (2023- ); vis-photo; Defense and Military Forces; Palestinians; Photography,,https://www.nytimes.com/article/israel-gaza-hamas-photos.html,A surprise attack by Hamas put Israel and the group that controlled Gaza at war. Here are images from the assault and what has followed.,6625
"Defying U.S. Pressure, Israel Deepens Gaza Assault",2023-12-31 00:00:18+00:00,"Netanyahu, Benjamin; Sinwar, Yehya",Gaza Strip; Israel,Israel-Gaza War (2023- ); Defense and Military Forces; Palestinians; Civilian Casualties; United States International Relations,Hamas,https://www.nytimes.com/2023/12/30/world/middleeast/defying-us-pressure-israel-deepens-gaza-assault.html,"Under the withering attacks, 165 people were killed in the past 24 hours, Gazan officials said, while Israel said it had destroyed the apartment of a Hamas leader.",1044
The World in Stories: 13 Favorite Dispatches From 2023,2023-12-31 05:01:27+00:00,,AFGHANISTAN,"Israel-Gaza War (2023- ); Two Thousand Twenty Three; Defense and Military Forces; Russian Invasion of Ukraine (2022); Afghanistan Earthquake (June 22, 2022); Animal Behavior; Photography; Politics and Government; Religion and Belief",,https://www.nytimes.com/2023/12/31/world/asia/favorite-nyt-dispatches-2023.html,"Our correspondents ventured to some of the world’s most remote, and dangerous, locales to report stories that reveal a country’s culture and the human condition. Here are our favorites from the year.",1414
‘You Carry Your Home With You’: A Palestinian Poet’s Journey Out of Gaza,2023-12-31 10:00:30+00:00,,Gaza Strip; Egypt; Israel,Poetry and Poets; Palestinians; Israel-Gaza War (2023- ); Refugees and Displaced Persons; Defense and Military Forces,,https://www.nytimes.com/video/world/middleeast/100000009227022/mosab-abu-toha-gaza-israel-war.html,"After months of war and fleeing from one place to the next with family, Palestinian Poet Mosab Abu Toha crossed into Egypt. He describes his harrowing experience, including being stripped, beaten and detained by Israeli soldiers.",0
"At These Schools, Arab and Jewish Students Share Their Feelings, With Each Other",2023-12-31 10:00:51+00:00,,,Israel-Gaza War (2023- ); Education (K-12); Jews and Judaism; Palestinians; Bilingual Education; Language and Languages; Religion and Belief; Children and Childhood; Teachers and School Employees,,https://www.nytimes.com/2023/12/31/world/middleeast/israel-schools-jews-arabs.html,"At a time when support for peace is at a low, conversations at Israel’s Hand in Hand schools about the Oct. 7 attack and the war in Gaza sound different than they do elsewhere.",1149
