Item,Count
"Goldin, Hadar (1991-2014)",1
"Mengistu, Avera",1
"Tsurkov, Elizabeth",1
"Bilal, Aaliyah",1
"Politkovskaya, Anna",1
"Schneerson, Menachem Mendel",1
"Cohen, Sacha Baron",1
"Rodrigues, Ray (1970- )",1
"Sasse, Benjamin E",1
"Combs, Sean",1
"Santos, George (1988- )",1
Ai Weiwei,1
"Hamad, Ghazi",1
"Baskin, Gershon",1
"Ramaphosa, Cyril",1
"Sarandon, Susan",1
"Altman, Samuel H",1
"Biden, Joseph R III",1
"Rubenstein, David M",1
"Sheikh, Hussein al-",1
"Banks, David C (1962- )",1
"Katz, Melinda R",1
"Gennaro, James F",1
"Nijjar, Hardeep Singh (1977-2023)",1
"Kissinger, Henry A",1
"Abu Akleh, Shireen",1
"Abdallah, Issam (Journalist)",1
"Bergman, Ronen",1
"Pascrell, William J Jr",1
"Bragg, Alvin",1
"Kornbluth, Sally A",1
"Awad, Nihad",1
"Novik, Nimrod",1
"Peres, Shimon",1
"el-Tantawy, Ahmed (1979- )",1
"AVINERI, SHLOMO",1
"Blumenthal, Richard",1
"Michaeli, Merav",1
"Abbott, Gregory W (1957- )",1
"Majors, Jonathan (1989- )",1
"Klein, Ezra",1
"El Reda, Samuel Salman",1
"Fetterman, John (1969- )",1
"Spielberg, Steven",1
"Humphrey, Hubert H Jr",1
"Johnson, Lyndon Baines",1
"Nixon, Richard Milhous",1
"Clinton, Hillary Rodham",1
"Cox, Kate (1992- )",1
"Douthat, Ross G",1
"Levin, Yariv (1969- )",1
"Habash, Tariq",1
Kim Jong-un,1
"Weingarten, Randi",1
"Robin, Ron (1951- )",1
"Barak, Aharon",1
"Al-Tawil, Wissam Hassan",1
"Halaby, Samia A",1
"Jehezkel, Sagiv (1995- )",1
"Zomlot, Husam",1
"Zamir, Zvi (1925-2024)",1
"Ono, Santa J",1
"Sejourne, Stephane",1
"Seldowitz, Stuart",1
"Borrell Fontelles, Josep",1
"Indyk, Martin S",1
"Pfeffer, Anshel",1
"Jackson, Reginald T",1
"Pelosi, Nancy",1
"Johnson, Brandon (Chicago, Ill, Politician)",1
"Pilip, Mazi Melesa",1
"Suozzi, Thomas R",1
"Edelstein, Yuli (1958- )",1
"Thani, Tamim bin Hamad al-",1
"Hammoud, Abdullah",1
"Power, Samantha",1
"Chavez Rodriguez, Julie",1
"Finer, Jonathan",1
"Bell, Wesley (1974- )",1
"Nahyan, Mohamed bin Zayed al- (1961- )",1
"Neutra, Omer",1
"Alexander, Edan (2003- )",1
"Fanon, Frantz",1
"Taiwo, Olufemi O",1
"Trentmann, Frank",1
"William, Prince of Wales",1
"McGurk, Brett H",1
"Whitmer, Gretchen",1
"Khanna, Ro",1
Goo Hara (1991-2019),1
"Bushnell, Aaron (d 2024)",1
"Balfour, Arthur James",1
"Bennet, Michael Farrand",1
"Barkat, Nir",1
"Hirono, Mazie K",1
"Merkley, Jeffrey A (1956- )",1
"Smith, Tina F",1
"Welch, Peter",1
"Lazzarini, Philippe (1964- )",1
"DineYazhi', Demian",1
"Mustafa, Muhammad",1
"Foxx, Virginia",1
"Arafat, Zaina",1
"Hammad, Isabella",1
"Klein, Naomi",1
"Mengiste, Maaza",1
"Moore, Lorrie",1
"Alexander, Michelle (1967- )",1
"Sheinbaum, Claudia",1
"Lopez Obrador, Andres Manuel",1
"Issa, Marwan",1
"Turk, Volker",1
"Friedman, David M",1
"Scholz, Olaf (1958- )",1
"Walberg, Timothy Lee",1
"Amash, Justin (1980- )",1
"Bolton, John R",1
"Friedman, David M (1958- )",1
"Khashoggi, Jamal",1
"Nadler, Jerrold",1
"Ortega, Daniel",1
"Kurilla, Michael E",1
"Cotton, Tom",1
"Mansour, Riyad H",1
"Michel, Charles (1975- )",1
"Kuleba, Dmytro",1
"Patel, Bhavini",1
"Boylan, Jennifer Finney",1
"Kraft, Robert K",1
"Cheney, Liz",1
"Kristof, Nicholas D",1
"Pocan, Mark",1
"D'Esposito, Anthony P",1
"Amro, Issa",1
"Petro, Gustavo",1
"Alivisatos, Paul",1
"Folt, Carol L",1
"Cousteau, Jacques-Yves",1
"Soros, George",1
"Reagan, Ronald Wilson",1
"Erdan, Gilad (1970- )",1
"Mishra, Pankaj",1
"Regev, Miriam (1965- )",1
"Cohen, Michael D (1966- )",1
"ARAFAT, YASIR",1
"Begin, Menachem",1
"Kahane, Meir",1
"Ali, Naji al-",1
"Mamdani, Zohran",1
"Rozic, Nily",1
"Brisport, Jabari",1
"O'Brien, Robert C (1952- )",1
"Harris, Simon (1986- )",1
"Orban, Viktor",1
"Fiala, Petr",1
"Grenell, Richard",1
"Boulos, Michael",1
"Blanchett, Cate",1
"Emanuel, Ariel Z",1
"Bitton, Yuval",1
