Poster,Date,Tweet,No of Likes,No of Retweets,No of Replies,No of Views
TuckerCarlson,"June 07, 2024 05:03 PM","Rep. Thomas Massie doesn’t care what you think of him, which is pretty great.  (3:19) Where Does US Debt End? (10:32) Why Massie Voted 15 Times Against Funding Israel (14:53) AIPAC (34:04) Mitch McConnell (42:25) Area 51 (50:32) Massies Relationship with Trump (57:09) Kill",54664,18329,4104,11631844
elonmusk,"April 28, 2024 03:42 AM","If you teach that “weak makes right”, then the perceived stronger party – in this case, Israel – is wrong.  Morals should be taught in the absolute, meaning that it is possible for either the strong or weak to be morally good, depending on their actions.",148075,26071,17949,25440223
elonmusk,"October 08, 2023 04:23 PM","Khamenei’s official position is clear that the eradication of Israel is the actual goal, not just supporting Palestinians.  That will not happen. All that actually happens, decade after decade, is a never-ending cycle of violence and vengeance.  Stoking the fires of hatred isn’t",44171,10486,8362,6449765
elonmusk,"July 23, 2024 09:29 PM",Starlink is now active in a Gaza hospital with the support of @UAEmediaoffice and @Israel,261387,28151,18156,85680598
elonmusk,"November 15, 2023 11:42 PM","Yes, “decolonization” necessarily implies a Jewish genocide, thus it is unacceptable to any reasonable person",34204,7055,5066,48395909
itsJeffTiedrich,"October 07, 2023 03:51 PM","hey, remember when Jared Kushner brought peace to the Middle East? me neither",19943,3345,1082,325181
itsJeffTiedrich,"April 13, 2024 09:50 PM","hey, remember when Jared Kushner brought lasting peace to the Middle East? me neither",19332,3442,941,240803
itsJeffTiedrich,"October 12, 2023 03:49 PM",Donald Trump praising Hamas is all the proof you need that the family of raccoons that live inside his head have finally chewed through all the wires,19262,3570,643,473972
OccupyDemocrats,"May 22, 2024 06:56 PM","BREAKING: Second Gentleman Doug Emhoff unleashes a brutal attack on Donald Trump, ripping into him as a ""known antisemite"" after his MAGA campaign releases a Nazi dog whistle video referencing a ""unified Reich.""  And it gets even better.   Emhoff, who is Jewish, posted a video",4418,1923,302,56700
OccupyDemocrats,"October 18, 2023 04:41 PM","BREAKING: President Biden scores a huge foreign policy win as he finally convinces Israel to allow humanitarian aid to flow across the border from Egypt into Gaza — giving relief to the embattled, starving, thirsty Palestinians.  Israeli Prime Minister Benjamin Netanyahu said",9453,3028,800,396671
OccupyDemocrats,"November 17, 2023 06:22 PM","BREAKING: President Biden slams Republican billionaire Elon Musk for his recent shocking antisemitism, calling it ""unacceptable"" and a ""hideous lie.""  This is EXACTLY how you stand up to MAGA bigotry.   It all started when Musk responded to a jaw-dropping tweet that alleged that",14653,4910,1263,614863
OccupyDemocrats,"October 09, 2023 07:05 PM","BREAKING: Republican 2024 presidential candidate Donald Trump launches a dangerous, vile, and racist attack against President Obama over the Hammas attacks against Israel.   On Truth Social today, Trump posted, “The same people that raided Israel are pouring into our once",6290,2738,3854,879435
krystalball,"July 26, 2024 11:10 AM",Bibi’s been the main obstacle to a ceasefire the entire time so he can fuck right off with this hissy fit over some long overdue mild criticism.,3408,591,137,114093
krystalball,"July 26, 2024 04:05 AM","Israeli Prime Minister Benjamin Netanyahu was upset by Vice President Kamala Harris on camera statement after their meeting & is concerned it will harm negotiations over a Gaza hostage & ceasefire deal, per Israeli official. My story on @axios …",1704,520,145,98755
krystalball,"November 01, 2023 07:43 PM",This is exactly the sort of abhorrent logic Hamas used to justify their slaughter of innocent Israelis,8826,2242,537,713310
