Poster,Date,Tweet,No of Likes,No of Retweets,No of Replies,No of Views
TheRickWilson,"October 09, 2023 06:18 PM","Thanks for siding with Hamas, Putin, Xi, and Iran! They LOVE Tubervilles crippling of the U.S. military.",17139,5168,870,642178
TheRickWilson,"October 18, 2023 12:57 PM",My most interesting takeaway from the Hamas hospital own goal story just how rapidly an American anti-Israel horseshoe of far-right and far-left voices merged to echo Hamas propaganda.,2567,648,261,167480
TheRickWilson,"October 18, 2023 01:03 PM",Joe Biden is meeting with Israeli first responders and families in a war zone.    Remarkable humanity. Physical courage.,7779,1722,1140,250484
TheRickWilson,"October 18, 2023 12:02 AM","We must stop attacking each other and come together.   There’s too much at stake.   Let’s get back to working on the crisis at the southern border, inflation, and helping Israel.",71134,16281,24748,5392507
TheRickWilson,"October 26, 2023 10:55 PM","If there are neighborhoods where the government of New York City is telling Jews to avoid, its the governments problem, not the Jews.   Absolutely unacceptable.",3204,629,80,149856
TheRickWilson,"October 27, 2023 05:54 PM","God, hes just the worst try-hard.   Israeli official, DeSantis administration at odds over alleged ammunition shipment",2419,278,53,143431
TheRickWilson,"November 22, 2023 12:00 PM","If Elon Musks lawsuit doesnt get dismissed, Media Matters will likely pursue discovery to seek Musk/X internal communications about antisemitic content, Musks endorsement of white genocide theory, and much more, MM president Angelo Carusone tells me:",4550,1497,328,897706
TheRickWilson,"December 02, 2023 11:18 PM","That’s the Muslim ban, for y’all playing at home.",10106,4060,1780,1108453
TheRickWilson,"December 08, 2023 01:32 AM",Penn loses $100 million donation over antisemitism hearing,1648,324,178,237278
TheRickWilson,"December 20, 2023 10:15 PM","“Mark Penn’s Harvard poll is driving coverage of Israel. But should it?. Semafor”  if the question is about Mark Penn’s polling, the answer should always be  “He’s just making shit up.”  Ask ⁦@BillClinton⁩.",5896,1821,191,212235
TheRickWilson,"January 02, 2024 05:02 PM","As we approach the third anniversary of the January 6th terrorist attack on the U.S. Capitol, expect a torrent of rage from Trump and his allies, but the truth remains; in the last 30 years, two men planned terrorist attacks on the U.S. Capitol: Trump, and Bin Laden.",13652,5704,404,340015
TheRickWilson,"January 27, 2024 02:00 PM","Today, on International Holocaust Remembrance Day, we remember the millions of Jews who were targeted for extermination and other victims of Nazi persecution.   We honor their memory by calling out the rise in antisemitism and say #NeverAgain.",9054,4194,541,434076
TheRickWilson,"February 20, 2024 11:38 PM",Wait. youre blaming @ProjectLincoln for the January 6th terrorist attack?   You might as well blame us for the assassination of Archduke Ferdinand.,1593,216,226,101347
TheRickWilson,"March 19, 2024 04:20 PM","Jared Kushners plan for Gaza: - Ethnic cleansing - Forced dislocation of Gazans to a desert in southern Israel - Continue a war that has already killed 30,000 people - Build some condos!!!!  …",2025,367,98,201483
TheRickWilson,"March 20, 2024 10:44 PM","""Comrade Nichols inspires workers to Stakhanovite Efforts To Increase #4 Size Tractor Tire Production At Peoples Rubber Manufactory 15, Smolensk.""",2592,153,317,208446
TheRickWilson,"March 19, 2024 04:20 PM","Jared Kushners plan for Gaza: - Ethnic cleansing - Forced dislocation of Gazans to a desert in southern Israel - Continue a war that has already killed 30,000 people - Build some condos!!!!",3914,1951,367,457097
TheRickWilson,"March 22, 2024 05:46 PM","This devastating story loss is difficult for any parent, and particularly, any father to read, but @davidfrums love for his daughter Miranda is a work of heartbreaking eloquence.",7631,701,376,324336
TheRickWilson,"April 13, 2024 10:46 PM",The combo of antisemitic and pro-Putin trolls in my TL is an exemplar of the Elon era of this hellsite.,4934,850,815,171772
TheRickWilson,"April 13, 2024 09:47 PM",Russia’s ally Iran is attacking Israel.  MAGA brain melt imminent.,11702,2607,1185,396969
TheRickWilson,"April 29, 2024 09:22 PM",We were violently assaulted and arrested with ~100 others peacefully protesting genocide at Washington University in St. Louis.  Many US police departments - including St. Louis - are being trained by Israel to use military occupation-style tactics against their own communities.,15350,7503,2963,488178
TheRickWilson,"May 01, 2024 05:44 AM","Hamas students at Columbia: ""They just barricaded us in"".  Oh my fing God. No fing way. Fk you, it’s finals. Can I go home?""",8194,2793,375,491947
TheRickWilson,"May 03, 2024 01:30 PM","From @RadioFreeTom:  ""A Failure of Imagination About Trump"" should scare the hell out of you.",1283,244,144,95734
TheRickWilson,"May 11, 2024 09:20 AM",Jew lists are back in fashion,1344,125,82,124592
TheRickWilson,"May 20, 2024 12:15 PM","To be honest, I did have ""Nick Fuentes streams gay porn and blames the Jews"" on my bingo card.",6187,1457,233,255620
TheRickWilson,"June 04, 2024 05:53 PM",Charlie Kirk claimed Trump’s felony conviction is “equally as significant” to the 9/11 terrorist attacks.,2807,224,83,167394
TheRickWilson,"July 31, 2024 07:05 PM","Aside from the hilarity, Trump also promised to pardon the January 6th terrorists.",4185,919,100,78065
TheRickWilson,"August 07, 2024 11:47 AM","Trump on Fox & Friends: ""I think that any Jewish person who votes for a Democrat should have their head examined.""",2033,378,102,104767
TheRickWilson,"September 20, 2024 01:52 AM","""Blame the Jews"". I did Nazi that coming.",68852,11315,1143,2098602
TheRickWilson,"September 20, 2024 01:40 AM",Trump: If I don’t win this election.  the Jewish people would have a lot to do with that if that happens,13403,2833,940,292417
TheRickWilson,"September 21, 2024 04:18 PM",Remember a few years ago when Trump said if he lost the Jews were to blame?  Seems like so long ago.,1156,167,38,50280
davidsirota,"October 13, 2023 05:12 PM",I am disgusted — but not surprised — that the Joe Biden who used his Democratic Party position to help lead America into the Iraq War is doing nothing to halt a potential genocide in Gaza.   The White House’s refusal to do anything is totally unacceptable.,1250,315,6,70937
davidsirota,"October 16, 2023 04:52 PM","We must do everything we can to save lives.  @RepRashida, @RepAndreCarson, @RepSummerLee, @RepDeliaramirez, and I are introducing the #CeasefireNOW Resolution to call for an immediate de-escalation and ceasefire in Israel and Palestine.  I urge my colleagues to join us.",10003,3825,3571,5151044
davidsirota,"October 20, 2023 11:47 PM","Weve lost some subscribers after we put this video/podcast out. And as I say in the video, Im fine with that.  As the founder of @LeverNews, Im not interested in cultivating - or comforting - readers who want antisemitism or Islamophobia.",1627,466,218,220076
davidsirota,"November 09, 2023 08:56 PM",Pretending to be powerless is Democrats patented move - their special technique to insist they cant ever do anything.   Biden has pulled this multiple times before - now hes trying to do it on Israel-Palestine.   Dont fall for it - hes not powerless.,1072,418,41,36660
davidsirota,"November 10, 2023 12:04 AM","NEWS: Eight months before the Biden administration approved a huge arms deal for Israel amid its Gaza siege, Biden signed an order prohibiting such deals for countries likely to use the arms to attack civilian targets or direct violence against children",1955,1013,81,158199
davidsirota,"November 14, 2023 07:06 PM","MUST READ: Right-wing Israel advocacy groups intervened in Democratic primaries to crush progressives, including a pro-Israel Jewish Democratic congressman.  The tactic has helped deter Democratic congressional opposition to Israels war in Gaza.",1081,542,82,125246
davidsirota,"December 10, 2023 03:47 PM",Things that are bad (in no particular order):   - Netanyahu  - Hamas  - Killing of civilians  - Rhetoric demanding the genocide of any people  - Billionaires controlling the discourse,1021,194,132,73980

"|RUN STATISTICS|
"
"Time Processed: November 27, 2024 04:01 AM
","Number of discards: 6267
","List of accounts processed: ['davidsirota']
","List of accounts coming in: ['TheRickWilson', 'davidsirota']
","List of accounts needed to be rerun: ['TheRickWilson', 'TheRickWilson', 'TheRickWilson', 'TheRickWilson', 'TheRickWilson', 'TheRickWilson', 'TheRickWilson', 'TheRickWilson', 'TheRickWilson', 'TheRickWilson', 'TheRickWilson', 'TheRickWilson', 'TheRickWilson', 'TheRickWilson', 'TheRickWilson', 'TheRickWilson', 'TheRickWilson', 'TheRickWilson', 'TheRickWilson', 'TheRickWilson']
",List of accounts with parsed but only irrelevant tweets: []
