Poster,Date,Tweet,No of Likes,No of Retweets,No of Replies,No of Views
kylegriffin1,"January 17, 2024 09:40 PM","During Trump lawyer Alina Habbas cross-examination, Judge Kaplan admonished her for reading a document that wasnt in evidence.  Kaplan said the court was going to break and that Habba might want to refresh her memory about how to enter a document into evidence.",6277,996,113,163260

"|RUN STATISTICS|
"
"Time Processed: November 18, 2024 10:06 AM
","Number of discards: 67
","List of accounts processed: ['kylegriffin1']
","List of accounts coming in: ['kylegriffin1']
","List of accounts needed to be rerun: []
",List of accounts with parsed but only irrelevant tweets: []
