Poster,Date,Tweet,No of Likes,No of Retweets,No of Replies,No of Views
laurenboebert,"September 02, 2024 10:03 PM",Tim Walz ran away from cameras when asked about the six hostages killed in Gaza.  We’ve got a Presidential and Vice Presidential candidate who can’t give an answer without their team crafting it first.  That’s not leadership. That’s cowardice. That’s not acceptable.,11543,2315,1263,192353
laurenboebert,"April 30, 2024 02:42 PM",Any student participating in violent antisemitic protests on college campuses and is in this country on a student visa needs to be immediately deported.  Any student on a federal student loan caught in these protests needs to have their loan revoked.  Enough is enough with this,11875,2089,3234,426458
laurenboebert,"April 16, 2024 12:30 AM","The White House came out against a standalone aid bill to Israel because it says that doing so would delay aid to Israel.  Other than the fact that the above statement makes NO SENSE, the takeaway is they don’t want to help Israel without tying it directly to Ukraine.  Joe Biden",2923,605,670,128309
repmtg,"July 24, 2024 06:04 PM","Honored to have Rabbi Jonathan Gross, a dedicated attorney seeking justice for J6ers, join me for Prime Minister Netanyahu’s address to Congress today.",3610,467,618,240890
repmtg,"October 19, 2023 01:04 AM","Watch Tlaib’s aggressive insurrectionist come at me in Cannon today  After Hamas murdered and kidnapped innocent Israelis, this antisemite screams “Let Gaza live” and claims I have blood on my hands.  Now Biden wants to give $100 million to Gaza to fund more Hamas terrorism!",12970,5048,4634,1594433
repmtg,"October 19, 2023 11:08 PM","The Hamas-loving insurrectionists, led by Rashida Tlaib, have ties to the SPLC and Jewish Voices for Peace.   One of their group messages was named ""Gobal Intifada,"" which means ""Arab uprising.""   These people support terrorists. Rashida Tlaib must be censured for her actions.",6486,2451,2124,288809
repmtg,"February 01, 2024 02:25 PM","Major roadways are being blocked by pro-Hamas protesters.  They’re disrupting people’s lives, trade and commerce, and any emergencies, and they organized this on the morning of the National Prayer Breakfast.  The Free Palestine disruptive movement is not winning anyone over.",2131,586,768,159377
repmtg,"May 05, 2024 06:02 PM","I said from the beginning if you support Israel, America should stay out and let them fight their own war and don’t let the Biden admin get involved.  Now that Mike Johnson sent $26 billion to Israel AND $9 billion to Gaza (Hamas), the Biden admin has stopped shipping ammo to",6453,1979,1038,342312
bennyjohnson,"October 07, 2023 03:57 PM",High Rise buildings in Gaza that have been used for terror operations are getting completely leveled.  Never seen anything like this…,3423,586,401,526927
bennyjohnson,"May 03, 2024 03:12 PM","Protester who shouted racist slurs at Rep. @ByronDonalds as he called on DC police to clear The George Washinton University Pro-Hamas encampment REVEALED to be terrorist-sympathizing PROFESSOR Zein El-Amine at GWU, Georgetown, and American.  Why do Universities act surprised at",11982,5008,529,1113898
bennyjohnson,"October 26, 2023 05:00 AM","BREAKING: Israel says “IDF tanks & infantry struck numerous terrorist cells, infrastructure and anti-tank missile launch posts” in Northern Gaza “In preparation for the next stages of combat”",1145,234,96,105511
bennyjohnson,"October 30, 2023 06:00 PM",BREAKING: Israeli PM Benjamin Netanyahu: “Just as the United States would not agree to a ceasefire after the bombing of Pearl Harbor or after the terrorist attack of 9/11. Israel will not agree to a cessation of hostilities with Hamas after the horrific attacks of October,29912,6534,1697,1783957
bennyjohnson,"October 28, 2023 06:09 PM",BREAKING: Israeli PM Benjamin Netanyahu says the “second stage” of the war has begun which will focus on destroying Hamas’ capabilities and returning hostages,7074,1639,217,167084
marklevinshow,"December 03, 2023 12:37 PM","IDF prepared for total eradication of Hamas, Netanyahu says",5636,856,388,129759
marklevinshow,"May 02, 2024 06:33 PM",Hamas Nazis shooting at civilians to keep them away from aid trucks. Blinken silent.,4687,2920,196,97146
marklevinshow,"October 29, 2023 12:11 PM",Israel unleashes fire and fury against Hamas Nazis,5721,740,409,143810
ksorbs,"November 04, 2023 08:30 PM",These people were prosecuted and had their lives destroyed more than any BLM/ANTIFA terrorist ever will.   …,24399,6198,4019,443559
atensnut,"October 12, 2023 03:28 AM",This disgusting little narcissist can’t stand not being the center of attention.  He’s going to Israel to get attention from media.   How does he travel so much with a war going on?,5933,1712,1494,105647
atensnut,"July 25, 2024 04:53 PM","You, the American taxpayer, are paying to clean up this disgusting Pro Hamas mess.    Were any of these degenerates animals arrested for decimating these historic structures?",2245,553,153,45667
atensnut,"October 12, 2023 09:57 PM",Good heavens.  Women in London removing posters of missing Israeli kids.,9309,6251,4462,611169
scottpresler,"May 13, 2024 08:12 PM",I hope that the RNC sees this messaging for the Jewish community.   We are already seeing an impact.,1829,384,28,24875
scottpresler,"May 13, 2024 07:50 PM","HOLY COW!   We are texting no party affiliated Pennsylvania Jewish voters:   “Joe Biden is funding Hamas.   4 years ago, we had peace in the Middle East.  The Jewish community deserves protection here & abroad.   Consider Trump this November.”   I’m texting w/ the voter RIGHT NOW",8619,2144,172,177804
scottpresler,"August 04, 2024 05:50 PM",“Palestinians do not have the capabilities to establish their own homeland and make it successful even with the aid of Israel and the United States.  They are too battle-minded to be able to establish a peaceful homeland of their own.”  -Josh Shapiro,5190,1967,189,79985
scottpresler,"August 06, 2024 01:54 PM","To every member of the Jewish community,   the reason why Josh Shapiro wasn’t chosen is because he’s Jewish.   The democrat party has left you behind. Instead of protecting & defending your families, democrats have chosen the Palestinian Authority & Hamas.  Consider Trump.",48016,14373,963,717783
scottpresler,"May 13, 2024 08:31 PM","Democrats can’t support the Jewish community, while also funding Hamas.",1059,185,23,11993
scottpresler,"June 19, 2024 03:26 AM","To any member of the Jewish community seeing this post,   remember that a vote for democrats this November is a vote for Hamas.   We had peace in the Middle East under President Trump.   It’s time for change.",18736,3058,412,168222
scottpresler,"April 24, 2024 09:15 PM",All counties are trying not to escalate?   Iran just attacked Israel   with money funded by Obama & Joe Biden.,5998,833,67,35235
