Poster,Date,Tweet,No of Likes,No of Retweets,No of Replies,No of Views
ksorbs,"October 11, 2023 03:34 PM",People supporting Hamas should be considered domestic terrorists inciting an insurrection.,28561,5205,2051,579377
ksorbs,"October 12, 2023 02:55 PM",If you love Palestine so much maybe you should move there.,24740,3118,3197,924638
ksorbs,"October 13, 2023 08:20 PM","This is more than a war over land, this is a war of religion. It does not stop if israel is defeated, it stops when every person who is not Muslim is killed. Christian, Jew, atheist.",15823,3627,1865,463166
ksorbs,"October 16, 2023 09:07 PM",The “religion of peace” is currently committing acts of terrorism accords the world.,5386,808,675,141199
ksorbs,"October 16, 2023 03:44 PM",Brought to you by BabylonBee with their sarcastic truth.  Hamas Disappointed Liberals Dont Believe They Massacred Jews After They Went To All The Trouble To Livestream It,2426,371,176,82899
ksorbs,"October 19, 2023 05:19 PM",Remember when Trump bombed terrorists then tweeted a picture of the American flag to show the world our strength? I miss that.,16793,2307,1786,360053
ksorbs,"November 01, 2023 09:36 AM","If you are Jewish and keep voting for Democrats. you are an idiot.  Oh, that goes for African-Americans, too.",36535,5951,4390,654371
ksorbs,"November 04, 2023 08:30 PM",These people were prosecuted and had their lives destroyed more than any BLM/ANTIFA terrorist ever will.   …,24380,6190,3999,443598
ksorbs,"November 05, 2023 06:33 PM",Guess we’re just done with those pro-Hamas protestors who stormed the capitol right?   Police state,14224,2374,1065,267793
ksorbs,"December 26, 2023 11:08 AM","We received about 20 inches of snow this week. So……….  8:00 am: I made a snowman.  8:10 - A feminist passed by and asked me why I didnt make a snow woman.  8:15 - So, I made a snow woman.  8:17 - My feminist neighbor complained about the snow womans voluptuous chest saying it objectified women everywhere.  8:20 - The gay couple living nearby threw a hissy fit and moaned it should have been two snowmen instead.  8:22 - The transgender man / woman / person asked why I didnt just make one snow person with detachable parts.  8:25 - The vegans at the end of the lane complained about the carrot nose, as veggies are food and are not to be used to decorate snow figures.  8:28 - I was being called a racist because the snow person is white.  8:30 - I used food coloring to make the snow person a different color and be more racially inclusive.  8:37 - Then I was accused of using a black face on the snow person.  8:39 - The middle eastern gent across the road demanded the snow woman be completely covered.  8:40 - The police arrived saying someone had been offended.  8:42 - The feminist neighbor complained again that the broomstick of the snow woman needed to be removed because it depicted women in a domestic role.  8:43 - The council on equality officer arrived and threatened me with eviction.  8:45 - TV news crew from ABC showed up. I was asked if I know the difference between snowmen and snow-women? I replied ""Snowballs"" and am now a sexist.  9:00 - I was on the news as a suspected terrorist, racist, homophobe, and sensibility offender, bent on stirring up trouble during difficult weather.  9:10 - I was asked if I have any accomplices. My children were taken by social services.  9:29 - Far left protesters offended by everything, marched down the street demanding that I be arrested.  9:45 - The boss called and fired me because of the negative association with work that had been all over social media  10:00 - I cry into my drink because all I wanted to do was build a snowman.   Moral: There is no moral to this story. It is what this world has become because of a bunch of snowflakes.",50590,12140,3,2048105
