Subject_ID,Affiliation,Followers,Tweet_ID,Affiliation_Contrast,After_Dates,After_Corpus,After_Likes,After_Retweets,After_Replies,After_Views
87,Republican Party,2700000,4995,-0.5,"October 13, 2023 02:11 PM",The mass expulsion of over 1 million people in a day is ethnic cleansing.  The UN has already said this is “impossible” and will have “devastating humanitarian consequences.”  We have to stop ignoring the thousands of Palestinian lives lost and millions at stake! We must use all x.com/axios/status/1…,2869,535,440,102480
78,Republican Party,570400,5034,-0.5,"April 10, 2024 02:04 PM",Where did I ever say caring about Christians was anti-Semitic?? You’re just dishonest lying hack @ComicDaveSmith.   I was canceled over 7 years ago for calling out Islamic persecution of Christians and Jews. For years I have called out Christian persecution.   You’re just a very x.com/ComicDaveSmith…,7378,516,209,364996
79,Republican Party,4400000,5112,-0.5,"February 25, 2024 07:51 PM","This year’s Conservative Political Action Conference (CPAC) illustrated yet again that the Jewish people and all others who stand with Israel, the one and only Jewish state, have a home in the Conservative movement.  From discussions about how to combat antisemitism to providing x.com/CPAC/status/17…",1430,575,91,105290
41,Republican Party,7000000,3208,-0.5,"October 11, 2023 02:14 AM","Here’s what we’re not going to do:  We will not allow bigotry to destroy our community and city in this devastating moment.  Islamophobia, antisemitism, and victim blaming cannot be tolerated.  We can + will reject it all. Not hard. We must focus on the lives currently at stake. x.com/loffredojeremy…",6585,646,485,774841
41,Republican Party,7000000,6311,-0.5,"March 05, 2024 10:50 PM","I get this question regularly, and I acknowledge that Israel faced a difficult challenge: It was hard to target Hamas without risking civilians. But my answer is: what I would not do is kill 31,000 people in Vancouver, including 12,500 children, and starve the entire population. x.com/rjherber/statu…",2953,435,524,489945
79,Republican Party,4400000,4079,-0.5,"July 22, 2024 07:10 PM",Kamala Harris is boycotting a major speech in Congress of the democratically elected @IsraeliPM after Oct. 7 and at a time when Israel is fighting for its survival against Iran on seven fronts - an enemy that has the clear goal of destroying Israel.   Kamala Harris is no genuine x.com/RJC/status/181…,1006,260,63,57941
20,Democratic Party,418700,5747,0.5,"December 15, 2023 03:45 PM","No, you are acting like the history of conflict and suffering justifies genocide. Hamas does not want peace. This is not an opinion. This is their stated mission. Palestine should be free. from them and from Israeli control. but you have to get other nations involved to sponsor x.com/heimaeyita/sta…",2873,987,166,92856
78,Republican Party,570400,3378,-0.5,"April 10, 2024 04:33 PM","I’m on team MAGA. Me not wanting to be on your team has nothing to do with Israel. Another dishonest point from you since I said I am against additional aid to Israel.   Another Dave Smith lie.   I don’t like you because you’re a libertarian, Trump hating Retard who thinks he’s x.com/ComicDaveSmith…",1463,110,321,129670
20,Democratic Party,418700,1483,0.5,"November 01, 2023 10:47 AM","Destroying a Hamas command center after warning all civilians in the area to get out is correct. Hamas hides behind civilians. Should this grant them immunity? If so, you have created a massive incentive for them to hide behind civilians. Many MORE civilians will die over time. x.com/piersmorgan/st…",2221,458,304,160323
78,Republican Party,570400,2519,-0.5,"April 11, 2024 07:42 PM","You might have told your followers that the ""8 years"" he refers to is when Gaza was under Egyptian control (many wont know that (as you know)).   Further, that when Sadat made peace, Egypt refused to take Gaza back.   Anyway, this empty-caloried argumentation by quote (usually x.com/ComicDaveSmith…",5618,588,173,246876
