Poster,Date,Tweet,No of Likes,No of Retweets,No of Replies,No of Views
senkatiebritt,"February 24, 2023 02:32 PM","Now, more than ever, we must stand with Israel.",2462,362,931,372119
laurenboebert,"February 27, 2023 07:54 PM",House Republicans will be launching a probe into Buttigieg’s non-response to the train derailment in East Palestine.  This utter dereliction of duty cannot be normalized. People are suffering.,21051,2935,6289,847408
laurenboebert,"February 16, 2023 03:49 PM","It’s been nearly two weeks and Mayor Pete has yet to go to East Palestine, Ohio.  Perhaps they should consider changing the name of their town to Ukraine if they want the Biden Regime to pay better attention.",22940,3687,4829,979505
laurenboebert,"February 18, 2023 01:14 AM",President Trump is heading to East Palestine next week.  Biden has announced no such plans.  Says everything.,31298,3988,7431,1229531
laurenboebert,"February 13, 2023 06:39 PM","Pete Buttigieg is nowhere to be found YET AGAIN as toxic chemicals are spewing out in East Palestine, Ohio after a train crash.  While he’s worried about “racist highways”, our nation’s transit systems are falling apart.",34842,7526,5949,1451032
laurenboebert,"February 15, 2023 02:01 AM","Other than Tucker, looks like the mainstream media has given up discussing East Palestine, Ohio.  What a disgrace our media is.",40379,6338,4927,1305970
laurenboebert,"February 21, 2023 02:36 AM",Biden spent five hours in Kyiv.  That’s five hours more than he spent in East Palestine.,24075,3369,4532,799487
repmtg,"February 12, 2023 11:15 PM","East Palestine, Ohio is undergoing an ecological disaster bc authorities blew up the train derailment cars carrying hazardous chemicals and press are being arrested for trying to tell the story.  Oh but UFO’s!  What is going on?   …",103658,46955,9175,17313082
repmtg,"February 22, 2023 08:09 PM","President Trump visits the people of East Palestine, Ohio and brings them water & supplies while Joe Biden only cares about pushing more war and US money in Ukraine.  Thank you President Trump for continuing to show what America First looks like.",49239,10438,7997,1635505
repmtg,"January 29, 2023 05:47 PM","Wisely, Netanyahu intends to keep Israel out of the war in Ukraine.  And hopefully, yesterday’s bombings don’t get perceived as involvement.  Because involvement could lead to biblical outcomes and unsurprisingly our leaders seem blinded to understanding & knowledge of this.",1078,187,118,74615
repmtg,"September 15, 2023 12:17 PM","Three years ago today, President Trump signed the Abraham Accords, a remarkable step in the quest for peace in the Middle East.  Today, we are on the verge of WW3 because Joe Biden is choosing escalation of foreign wars over peace.  We need a president who seeks peace again!",9797,2317,1797,237184
bennyjohnson,"March 10, 2023 02:29 PM","Sen. JD Vance UNLOADS on Regime for IGNORING suffering people of East Palestine   ""Are we for big business and big government or are we for the people of East Palestine? Its a time for choosing.""",1287,276,22,33306
bennyjohnson,"March 20, 2023 04:56 PM",Chemist testing water in East Palestine SHOCKS host after revealing children coughing up blood,4266,3143,123,260379
bennyjohnson,"February 17, 2023 05:39 PM","Senator JD Vance went to East Palestine, Ohio what he EXPOSED will SHOCK you— This is what theyre hiding.",8737,2347,359,545831
bennyjohnson,"February 15, 2023 08:53 PM","Residents of East Palestine, Ohio DEBUNK lie on massive deadly chemical spill, reveal how theyre REALLY feeling…",2793,895,162,191784
bennyjohnson,"February 14, 2023 01:17 AM",Ohio will never recover from this.   Prayers for East Palestine,49240,11095,3398,9070610
bennyjohnson,"February 14, 2023 02:57 PM",As you watch this black cloud of death encompass this little town don’t miss the 500 private homes in the shot. 32 small businesses.  12 restaurants.  3 city parks. 2 playgrounds. An elementary school.  A high school.   Pray for East Palestine Ohio  …,18956,5296,1083,1309345
marklevinshow,"March 07, 2023 03:22 AM",2. He must also be aggressively questioned about his efforts at appeasing the terrorist Iranian regime.,1495,461,161,143579
ksorbs,"August 30, 2023 08:55 AM",Ready for a historical trip of a lifetime?  Come join me in Israel next May!,1497,139,186,102602
atensnut,"February 23, 2023 03:26 PM",The biggest negative impact to East Palestine since the train derailment ….was when this clown finally showed up.,2412,318,201,50394
atensnut,"February 23, 2023 06:27 PM",Governor Dewine ask CEO of Norfolk for advice before the burn.  Really?    Governor Dewine told Biden Administration he would let them know if help was needed…….And then didn’t.     He has a lot to answer for how he handled this disaster East Palestine.,1599,396,165,44038
scottpresler,"February 22, 2023 09:55 PM","Thank you, President Trump, for delivering thousands of bottles of water, cleaning supplies, & food to East Palestine, Ohio.",13091,2747,378,315884
scottpresler,"February 23, 2023 02:56 PM","We need to plaster posters & signs across IN, KY, OH, PA, & WV that say,   “Joe Biden abandoned East Palestine, OH”   “Joe Biden chooses Ukraine over Americans”",2985,710,110,52944
scottpresler,"February 20, 2023 04:47 PM","President Trump,   When you visit East Palestine — since Joe Biden is in Ukraine — ask for people to donate water, non-perishable food items, socks, & mobile laundry trailers.  Let’s give back to the community.",3586,653,77,143969
scottpresler,"February 22, 2023 10:09 PM","It makes me incredibly proud that President Trump visited East Palestine, bringing goods to help Ohioans.   At the same time, it makes me incredibly embarrassed that Joe Biden abandoned East Palestine & chooses to help Ukraine over Americans.  #TrumpWater",4489,763,96,62656
pnjaban,"February 16, 2023 04:10 AM","Thank you @IngrahamAngle for having me on tonight to discuss the environmental catastrophe in East Palestine, OH. If you live there and are asked to sign any waiver, get legal advice first! Government/corporate gaslighting (literally) in full effect. Believe your own senses.",2419,683,85,131654
rudygiuliani,"February 23, 2023 07:21 PM","Courtney lives right next to where the train derailed in East Palestine, Ohio.  Im here to offer my experience with crisis management, as Im concerned by the federal governments slow response.  Were going to make sure Courtney—and everyone else here—gets the help they need.",13541,2727,2245,492447
rudygiuliani,"February 28, 2023 02:39 AM","I went to East Palestine, Ohio to offer my experience with crisis management as a former mayor. Well continue to help the community as they deal with consequences of derailment.  Its not about partisanship or fingerpointing. Its about leadership and helping fellow Americans.",4980,746,321,124561
rudygiuliani,"February 24, 2023 10:59 PM","Weve met with so many great people impacted by the train derailment in East Palestine, Ohio.  Mayor Conaway is a good man, and after meeting with him, Im confident in his ability to lead.  He asked us to use our platform to ensure they are not forgotten or ignored. We will.",3128,532,136,87391
