Poster,Date,Tweet,No of Likes,No of Retweets,No of Replies,No of Views
DineshDSouza,"March 01, 2023 10:00 AM","Ze’ev Orenstein, international affairs director of the City of David Foundation, talks about biblical archeology in Israel and shows us ash left often from the 2000-year-old Roman burning of Jerusalem. @ZeevOrenstein",227,49,9,69182
DineshDSouza,"February 18, 2023 06:05 AM","After FEMA Denies Aid to East Palestine, Ohio, Democrats and Republicans Unite to Demand Answers",2026,439,142,92143
DineshDSouza,"February 27, 2023 04:08 PM","Trump Vindicated, Biden Proven A Liar As NYT Admits Trump Rollback Had ‘No Impact’ On East Palestine, Ohio",6464,1470,355,140655
DineshDSouza,"March 01, 2023 01:05 AM",East Palestine Residents Coming Down With Mysterious Illness As Hazardous Chemicals Linger Following Derailment,972,443,104,77405
TheLeoTerrell,"September 02, 2023 11:16 AM",Lawmakers urge Biden not to consider plea deal for 9/11 terrorists to escape death penalty,302,53,61,24550
donaldjtrumpjr,"February 02, 2023 05:53 PM",The Hamas caucus of the house is really upset that an antisemite was removed from the foreign affairs committee. I’m shocked…but also glad that finally some people did something.,37657,257,3968,1214972
spiritofho,"January 04, 2023 02:41 PM",Kanye: I love Hitler  Jenna: Decolonize Palestine  Israeli media:,366,71,13,17686
spiritofho,"January 29, 2023 06:19 PM",The West is just giddy that Israel committed an act of war on Iran.,809,251,92,69021
spiritofho,"July 16, 2023 08:18 PM",I don’t want to hear Covid this Covid that. I want an explanation for why the mass influx of people like myself who have left the democrats should support RFK Jr given that he is almost more enthusiastic about supporting Israel’s genocide of Palestine than the establishment.,244,58,43,12418
spiritofho,"January 14, 2023 11:12 PM",Free Palestine is trending. This is a reminder that the biggest impediment to Palestines liberation is the U.S.s ceaseless funding of Israels apartheid regime.,1293,414,22,29294
MollyJongFast,"December 29, 2022 01:19 AM",As an actual jew this is particularly enraging,3977,454,435,527707
MollyJongFast,"December 27, 2022 02:22 AM",One of these candidates was Jewish and the other was Jew ish.,931,138,64,153572
MollyJongFast,"March 31, 2023 05:38 PM","Personally as a Jew, I tend to think the people using antisemitic rhetoric are in fact antisemitic",6219,591,218,283019
FiorellaIsabelM,"July 04, 2023 11:54 AM","Israel not only attacked a refugee camp in Jenin but specifically targeted a medical center, claiming they’re targeting “terrorists”. Before you try to both sides this issue, don’t.",591,365,35,44141
FiorellaIsabelM,"July 26, 2023 08:35 AM","While RFK acknowledged Israel has nuclear weapons he either naively or disingenuously pretends “Israel is not going to use their nuclear weapon unless they’re attacked…”because Israel doesn’t attack Syria, Iran & Palestine UNPROVOKED on the daily.",545,190,50,24851
FiorellaIsabelM,"September 20, 2023 11:13 AM","BREAKING Armenia and Azerbaijan have agreed to a ceasefire in the Nagorno-Karabakh region, via mediation from Russian peacekeepers",434,118,15,20289
FiorellaIsabelM,"March 17, 2023 06:17 PM",It’s been 20 years since the death of Rachel Corrie at the hands of US-funded Zionists  20 years since the deceitful US-Led invasion of Iraq  55 years since the US-led Mỹ Lai Massacre  The ICC is a joke & condones war crimes & criminals while Julian Assange is still in Prison,460,167,7,9119
aaronjmate,"February 05, 2023 01:23 PM","Former Israeli PM Naftali Bennet: NATO “decided that it is necessary to continue to smash Putin, and not to negotiate… They broke off the negotiations, and then it seemed to me that they were wrong.”",4796,1835,196,883565
aaronjmate,"March 10, 2023 10:46 PM","The UN says that Israels bombing of Syrias Aleppo airport forced it ""to suspend or divert flights used to transport vital medical supplies such as tetanus vaccines, diabetes medication and blood-transfusion testing equipment.""",1145,572,46,62002
aaronjmate,"November 04, 2022 05:00 PM","I try not to invoke my Jewish identity because opinions have value on merits, not ethnicity. But the policing of black celebrities is embarrassing. Also massively hypocritical: US media and Jewish groups are now silent on US backing of openly neo-Nazi Azov Battalion in Ukraine.",1442,271,23,27317
aaronjmate,"August 21, 2023 03:14 PM","Today is 10th anniversary of the Ghouta chemical massacre in Syria. US blamed Syrian govt, but all evidence points to sectarian death squad rebels. Thats why Obama didnt bomb.  There are Western officials who know more about Ghouta than has been publicly disclosed. Just as the",2525,1023,78,192402
aaronjmate,"July 21, 2023 02:20 PM","These ""rebels"" were also armed by Israel, which regularly bombs Syria to help enforce a US blockade. Meanwhile the US occupies 1/3 Syria, stealing its wheat/oil, and imposes sanctions that, as former senior Trump officials brag, have ""crushed"" Syrias economy, causing ""food",1442,271,23,27317

|RUN STATISTICS|
"Time Processed: November 05, 2024 12:43 AM",Number of discards: 54,"List of accounts processed: ['DineshDSouza', 'TheLeoTerrell', 'donaldjtrumpjr', 'spiritofho', 'MollyJongFast', 'FiorellaIsabelM', 'aaronjmate']","List of accounts coming in: ['maryltrump', 'JoJoFromJerz', 'DineshDSouza', 'dbongino', 'TheLeoTerrell', 'donaldjtrumpjr', 'diamondandsilk', 'spiritofho', 'MollyJongFast', 'FiorellaIsabelM', 'aaronjmate']",List of accounts needed to be rerun: ['dbongino'],"List of accounts with parsed but only irrelevant tweets: ['maryltrump', 'JoJoFromJerz', 'diamondandsilk']"
