Date,Trends
07-12-2022,"['Peru', 'Pedro Castillo', 'Warnock', 'Walker', 'Perú']"
08-12-2022,"['Griner', 'Russia', '#محسن_شکاری', '#TheGameAwards', 'Marine']"
09-12-2022,"['Argentina', 'Messi', 'Neymar', 'Brazil', '#TheGameAwards']"
10-12-2022,"['Morocco', 'World Cup', 'Ronaldo', 'England', '#FIFAWorldCup']"
11-12-2022,"['#FunFanไปกับD7xMileApo', 'Fauci', 'Musk', 'seokjin', '#UFC282']"
12-12-2022,"['Fauci', 'Elon Musk', '#SafeFlightOurAstronaut', '#搞定要要個阿', '#MajidrezaRahnavard']"
13-12-2022,"['Messi', 'Argentina', '#DMDLINEUP2023', 'seokjin', 'Modric']"
14-12-2022,"['Argentina', '#GQMOTY2022xMileApo', 'Morocco', 'Mbappe', 'Twitch']"
15-12-2022,"['NFTs', 'Digital', 'Superman', '#RMLiveinSeoul', 'Gunna']"
16-12-2022,"['Spaces', 'The FBI', 'Barbie', 'Doxxing', 'Aaron Rupar']"
17-12-2022,"['Elon', 'The FBI', 'Barbie', 'Vikings', 'Doxxing']"
18-12-2022,"['Messi', 'Mbappe', 'Argentina', 'World Cup', '#FIFAWorldCup']"
19-12-2022,"['#MohammadMehdiKarami', 'Twitter CEO', '#MondayMotivation', 'CEO of Twitter', 'Giants']"
20-12-2022,"['McConnell', 'YouTube TV', '#WWERaw', '#TheNameChapter', 'TEMPTATION CONCEPT TEASER']"
21-12-2022,"['Ukraine', 'Zelensky', '#BibleBuildxGangnam嫩白水', 'Putin', '#SKZREPLAY']"
22-12-2022,"['Ukraine', '#BVLGARIxApo', 'Zelensky', 'BVLGARI WITH NATTAWIN', 'Russia']"
23-12-2022,"['Merry Christmas', '#其阿實其點用', 'Tory', 'Happy Holidays', 'Megan']"
24-12-2022,"['Christmas', 'Santa', '#RoyalGrandOpeningFHxMileApo', 'Happy Holidays', 'Tory']"
25-12-2022,"['Christmas', 'Merry Christmas', 'Feliz Navidad', 'Happy Holidays', 'Santa']"
26-12-2022,"['#其阿實其點用', 'Arsenal', 'Boxing Day', '#實其阿點用其實', 'Gakpo']"
27-12-2022,"['#其阿實其點用', '#實其阿點用其實', '#ตัวอย่างนิ่งเฮีย2you', 'George Santos', '#silent再放送プレゼント']"
28-12-2022,"['#實實阿點用其實', '#實其阿點用其實', 'Luka', '#WayV_Phantom', 'Greta']"
29-12-2022,"['Pele', '#實實阿點用其實', '#HappyBirthdayTaehyung', 'Andrew Tate', '#TAEHYUNGDAY']"
30-12-2022,"['Tate', 'Andrew Tate', 'Ronaldo', 'Happy New Year', 'iKON']"
31-12-2022,"['Happy New Year', 'jhope', 'Arsenal', 'Barbara Walters', 'hobi']"
01-01-2023,"['Happy New Year', 'Happy 2023', 'Feliz Año Nuevo', 'hobi', 'Starting 2023']"
02-01-2023,"['Damar Hamlin', '#ShiningStarJISOODay', '#간판올리고_문열어라_지수_생일이다', 'The NFL', 'JISOO']"
03-01-2023,"['Damar Hamlin', 'McCarthy', 'Speaker', 'The NFL', 'Republicans']"
04-01-2023,"['McCarthy', 'Speaker', '#VIBE', 'TAEYANG', 'Jeffries']"
05-01-2023,"['Chelsea', 'Bills', 'William', 'Sinaloa', 'Ovidio']"
06-01-2023,"['Reyes', 'Capitol', 'haechan', 'Gaetz', 'Ashli Babbitt']"
07-01-2023,"['Speaker McCarthy', 'Gaetz', '#LisaThrillsBangkok', '#MohammadMehdiKarami', 'wonwoo']"
08-01-2023,"['Brazil', 'DAYDREAM CONCEPT PHOTO', '#TEMPTATION', 'Chelsea', '#TOMORROW_X_TOGETHER']"
09-01-2023,"['Brazil', 'Lions', '#IRGCterrorists', 'Packers', 'Seahawks']"
10-01-2023,"['#IRGCterrorists', '#GoldenGlobes', 'BLACKPINK', 'Coachella', 'NIGHTMARE CONCEPT PHOTO']"
11-01-2023,"['#iHeartAwards', 'Shakira', '#GoldenGlobes', '#BestMusicVideo', 'All US']"
12-01-2023,"['Shakira', 'Biden', 'Piqué', 'Chelsea', 'Jeff Beck']"
13-01-2023,"['Spotify', 'Taeyang', '#ApoNattawinxDiorTaipei', '#VibeFtJimin', 'Lisa Marie Presley']"
14-01-2023,"['Shakira', 'Biden', 'Spotify', '#MissUniverse2022', 'Venezuela']"
15-01-2023,"['#PradaFW23', '#MissUniverse2022', 'Arsenal', 'Madrid', '#TheIconJENNIEDay']"
16-01-2023,"['Dior', '#TheLastOfUs', 'Dr. King', 'Cowboys', 'Brady']"
17-01-2023,"['The D', 'Cowboys', 'Brady', 'jeonghan', 'Maher']"
18-01-2023,"['#BOC2023Projects', 'seokjin', 'Weverse', 'Casemiro', '#BibleBuild']"
