Date,Trends
02-07-2023,"['Elon', '#OPENSEA', 'Supreme Court', '#MITB', 'Tumblr']"
03-07-2023,"['#Arbitrum', 'My Twitter', '#opensea', 'Elon', '#StillWithYou']"
04-07-2023,"['jungkook', 'Happy 4th', 'America', 'Independence Day', 'Happy 4th of July']"
05-07-2023,"['Happy 4th', 'Threads', 'mingyu', 'White House', 'Mount']"
06-07-2023,"['Threads', 'jungkook', 'Meta', '#PLANET', '#JungKook_Seven']"
07-07-2023,"['Taylor', '#SpeakNowTaylorsVersion', 'Taylor Swift', '#DoItLikeThat', '#TOMORROW_X_TOGETHER']"
08-07-2023,"['taylor lautner', '#UFC290', '#Happy10thAnniversaryARMY', '#HappyBirthdayARMY', '#BritishGP']"
09-07-2023,"['#UFC290', 'Izzy', '#PIG2', '#BritishGP', '#Barbie']"
10-07-2023,"['#EXO_CreamSoda', '#EXO_EXIST', '#ZEROBASEONE', '#YOUTHINTHESHADE', '#Barbie']"
11-07-2023,"['#PortfolioDay', '#火狐体育', '#ag真人', '#亚博体育', '#江南体育']"
12-07-2023,"['jungkook', 'The FBI', 'Wray', 'Emmy', 'jennie']"
13-07-2023,"['$XRP', 'Ripple', 'Messi', '#SEVENbyJUNGKOOK', 'Secret Service']"
14-07-2023,"['jungkook', '#JungKookOnGMA', 'sohee', '#Chandrayaan3', 'Tucker']"
15-07-2023,"['Jungkook', 'Ukraine', 'Tucker', 'Pence', 'Declan Rice']"
16-07-2023,"['Alcaraz', '#Wimbledon', 'wonwoo', 'Messi', '#BeckyatUNIQLO23FW']"
17-07-2023,"['Alcaraz', '#Wimbledon', '#NCTDREAM_ISTJ', 'Djokovic', 'jaemin']"
18-07-2023,"['Stationhead', 'Jack Smith', '#InBloom1stWin', '#ZEROBASEONE1stWin', 'ZB1 FIRST WIN']"
19-07-2023,"['WhatsApp', 'Jack Smith', 'iPhone', 'Israel', 'Carlee']"
20-07-2023,"['Barbie', 'Hunter', 'THE SONG', 'Oppenheimer', '#Barbie']"
21-07-2023,"['Tony Bennett', 'Mbappe', 'K-POP', 'Nigeria', '#CreamSoda1stWin']"
22-07-2023,"['Tony Bennett', 'One Piece', 'Butter', 'World Cup', 'Cruz Azul']"
23-07-2023,"['Barbie', 'Twitter X', 'Messi', 'The X', 'Elon']"
24-07-2023,"['Barbie', 'Spotify', 'The X', 'Elon', 'Oppenheimer']"
25-07-2023,"['Barbie', 'The X', 'Elon', '#TwitterX', 'Inoue']"
26-07-2023,"['Barbie', 'Messi', 'Hunter Biden', 'Covid', 'Elon']"
27-07-2023,"['Sinead', 'Hunter Biden', 'Aliens', 'McConnell', 'Mitch McConnell']"
28-07-2023,"['Utopia', 'Travis Scott', 'New World', 'Apple Music', 'MY EYES']"
29-07-2023,"['Travis', 'Suchwita', '#FFXIVFanFest', 'Alito', 'Hojlund']"
30-07-2023,"['My Twitter', 'STAY STAY STAY', 'The X', 'Colombia', 'Twitter is X']"
31-07-2023,"['My Twitter', 'Archer', 'Japan', 'Cardi', '#ITZY_CAKE']"
01-08-2023,"['Jack Smith', 'New Month', 'mingyu', 'Lizzo', 'Pence']"
02-08-2023,"['#バニーの日', 'Jack Smith', 'Pence', 'Lizzo', 'jisoo']"
03-08-2023,"['jisoo', 'Jack Smith', 'Lizzo', 'Germany', 'Fitch']"
04-08-2023,"['Lizzo', 'Pence', '#MultyxFreenBecky', 'Adora', 'Vicky']"
05-08-2023,"['LIKE CRAZY', 'TONY MONTANA', '#ImranKhan', 'Jose', 'Kai Cenat']"
06-08-2023,"['#D_DAY_THE_FINAL_D3', 'Nate', ""A'ja"", 'Rapinoe', 'Karma']"
07-08-2023,"['#7YearsWithBLACKPINK', 'BIGHIT', 'Gear 5', 'Rapinoe', 'England']"
08-08-2023,"['Taco Tuesday', 'Dipplin', 'Wayne Brady', 'Dier', 'Angelos']"
09-08-2023,"['#wednesdaythought', '#NationalBookLoversDay', '#HSMTMTS', 'Doocy', 'Matt Turner']"
10-08-2023,"['APOLOGIZE TO LISA', 'Hawaii', 'Iran', 'Harry Kane', 'Lil Tay']"
11-08-2023,"['Japan', 'Clarence Thomas', '1989 TV', '#1989TaylorsVersion', 'Chutkan']"
12-08-2023,"['Special Counsel', 'Cristiano Ronaldo', 'Colombia', 'Arsenal', 'Maui']"
13-08-2023,"['#深圳外围', 'Milei', 'Argentina', 'Iowa', 'Maui']"
14-08-2023,"['Milei', 'Maui', 'Argentina', 'Hawaii', 'Target']"
15-08-2023,"['The Georgia', 'Georgia', 'Fulton County', 'Indicted', '#モニタリング']"
16-08-2023,"['Maui', 'Ukraine', 'Hawaii', 'Fulton County', 'Fani Willis']"
17-08-2023,"['$BTC', 'Maui', 'Georgia', 'Hawaii', 'Scott Pilgrim']"
18-08-2023,"['Elon', 'Apple', 'Tucker', 'hoshi', 'hobi']"
19-08-2023,"['Elon', 'kcon', 'Bellingham', 'Tucker', 'Mount']"
20-08-2023,"['Chelsea', 'kcon', '#Uranus2324xFreenBecky', 'California', 'namjoon']"
21-08-2023,"['KCON', 'Elon', 'California', 'Chan', 'Mario']"
22-08-2023,"['Elon', 'Mario', 'California', 'Charles', ""Sha'Carri""]"
23-08-2023,"['Putin', 'All Day', 'Tucker', '#Chandrayaan3', 'Vivek']"
24-08-2023,"['Prigozhin', 'Putin', 'Wagner', 'Vivek', 'Tucker']"
25-08-2023,"['Rubiales', 'Drake', 'Bellingham', 'selena', '#BB25']"
26-08-2023,"['Trump', '#NCT_NATION_ToTheWorld', '#SoyRebeldeTour', 'Bob Barker', 'Usyk']"
27-08-2023,"['#AEWAllIn', 'Mysta', '#hololiveSPDAY1', 'Bob Barker', 'Usyk']"
28-08-2023,"['#AEWAllIn', 'Chan', 'Jacksonville', 'Judge Chutkan', 'AR-15']"
29-08-2023,"['Stationhead', 'Jacksonville', 'Becky', 'Sanchez', '#WWERaw']"
30-08-2023,"['namjoon', 'Gabon', 'Hurricane Idalia', '#Idalia', 'Mitch McConnell']"
31-08-2023,"['jungkook', 'Gabon', '#UCLdraw', 'JISOO', 'Bayern']"
01-09-2023,"['Jungkook', 'One Piece', 'Florida', 'McConnell', 'Mitch']"
02-09-2023,"['Chelsea', '#INDvsPAK', 'One Piece', '#BanTheADL', 'Labor Day']"
03-09-2023,"['#WWEPayback', 'Jimmy Buffett', '#ARSMUN', 'Burning Man', 'Nazis']"
04-09-2023,"['Labor Day', 'Burning Man', 'GOT7', 'Nazis', '#AEWAllOut']"
05-09-2023,"['Bharat', 'Labor Day', '#PinkFriday2', 'Nazis', 'Steve Harwell']"
06-09-2023,"['Covid', 'Enrique Tarrio', '#TAROxBecky', '#PEPTJudgement', 'Kylie']"
07-09-2023,"['Covid', 'Claudia', 'Liberty Safe', 'Coco', 'The NFL']"
08-09-2023,"['For Us', 'Neymar', 'Starlink', 'Germany', '#2KDay']"
09-09-2023,"['Morocco', 'Olivia Rodrigo', 'New Mexico', 'Iowa', 'Colorado']"
10-09-2023,"['Eagles', '#INDvsPAK', 'Izzy', 'Vikings', 'Bama']"
11-09-2023,"['namjoon', '#NeverForget', 'Bears', 'Iran', 'felix']"
12-09-2023,"['jungkook', '#VMAs', 'olivia', 'Iran', 'Mohbad']"
13-09-2023,"['jungkook', 'McCarthy', '#PiagetxApo', 'Unity', 'Romney']"
14-09-2023,"['iPhone', 'Apple', 'Switch', 'Unity', 'Hunter Biden']"
15-09-2023,"['Hunter Biden', '#NintendoDirect', 'Libya', 'Romney', 'Roman']"
16-09-2023,"['México', 'Hunter', 'Paxton', 'Viva Mexico', 'Lauren Boebert']"
17-09-2023,"['#モニタリング分析', '#SingaporeGP', 'Lewis', 'Patriots', 'Chargers']"
18-09-2023,"['#モニタリング分析', 'F-35', 'Cuba', 'Russell Brand', 'Giants']"
19-09-2023,"['F-35', 'SEVENTEEN', 'Nintendo', 'Term', 'Chubb']"
20-09-2023,"['Gojo', 'Garland', 'Onana', 'Term', 'Fetterman']"
21-09-2023,"['Garland', 'Onana', 'Zelensky', '#jjk236', '#OccupyJulorbiHouse']"
22-09-2023,"['Ukraine', 'Zelensky', '#乌鲁木齐', 'STILL WITH YOU', 'R I L']"
23-09-2023,"['Ukraine', 'Menendez', '#モニタリング分析', 'Prime', 'Clarence Thomas']"
24-09-2023,"['Ukraine', '#モニタリング分析', 'Prime', '#JapaneseGP', 'Menendez']"
25-09-2023,"['#モニタリング分析', 'Swift', 'Taylor Swift', 'Nazis', 'Usher']"
26-09-2023,"['#モニタリング分析', 'Swift', 'Nazis', 'MILEAPO BA DIOR IN PARIS', 'Target']"
27-09-2023,"['#GuoranjiangziXBUILD', 'Nazis', 'Mar-a-Lago', 'Eric', 'East']"
28-09-2023,"['Mar-a-Lago', 'Blazers', 'namjoon', '#GOPDebate', 'Dana']"
29-09-2023,"['Dianne Feinstein', 'Senate', 'Rest in Peace', 'Sergio Ramos', 'Good Friday']"
30-09-2023,"['Feinstein', 'Elon', '#ZeeNuNewConcertDay1', 'California', 'Tupac']"
01-10-2023,"['Ukraine', 'Bowman', 'Canelo', 'Halloween', 'New Month']"
02-10-2023,"['Ukraine', 'Halloween', 'Edge', '#TwentySixHugsForBangChan', 'Kelce']"
03-10-2023,"['McCarthy', 'Halloween', 'Arsenal', 'jeonghan', '#JungKook_GOLDEN']"
04-10-2023,"['Democrats', 'Chan', 'Jim Jordan', 'Mbappe', 'Dems']"
05-10-2023,"['Decision', 'Speaker Trump', 'Drake', '#NewSiXBecky', 'Treatment']"
06-10-2023,"['Official Twitter', 'JENNIE', 'Uniswap', 'Hillary', 'YOU & ME OUT NOW']"
