category,group_attributes,difference,standard_dev,effect_size,Pleft,Pright,Ptot
['Warm'],"['Israeli', 'Arabic']",0.082848,0.098549,0.840679,0.866134,0.145854,0.301698
['Warm'],"['Jewish', 'Muslim']",-0.068867,0.086205,-0.798878,0.053946,0.947053,0.17982
['Cold'],"['Israeli', 'Arabic']",-0.010528,0.048576,-0.216721,0.407592,0.611389,0.851149
['Cold'],"['Jewish', 'Muslim']",-0.041277,0.055535,-0.743266,0.155844,0.845155,0.320679
['Competence'],"['Israeli', 'Arabic']",0.036647,0.076146,0.48127,0.58042,0.433566,0.841159
['Competence'],"['Jewish', 'Muslim']",-0.041411,0.072225,-0.573362,0.165834,0.837163,0.331668
['Incompetence'],"['Israeli', 'Arabic']",0.015168,0.045575,0.332816,0.577423,0.446553,0.838162
['Incompetence'],"['Jewish', 'Muslim']",-0.040834,0.055169,-0.740166,0.143856,0.859141,0.2997
