Poster,Date,Tweet,No of Likes,No of Retweets,No of Replies,No of Views
anthonyzenkus,"April 21, 2024 10:15 PM",They release this the day we find out that Israel bombed and killed 12 children from one family in a spree of bombings in Rafah last night.,1739,190,68,50019
anthonyzenkus,"April 09, 2024 05:48 AM",Innocent civilians have been targeted and killed by Israel. This has come out in Israeli press. We supplied the bombs despite this. Boden and US gov are culpable.,277,38,16,8201
anthonyzenkus,"August 22, 2024 04:35 PM","You forgot ""and force Israel to accept a permanent ceasefire and withdrawal from Gaza and the West Bank and we must enact a weapons embargo on Israel"".",791,443,23,11845
anthonyzenkus,"March 24, 2024 12:22 AM","Retired Israeli military personnel confirm: Yes, Biden could end the genocide with one phone call. And he could have done it at any time while Israel was slaughtering 13,000 babies and children. He chose not to. This is Bidens genocide. …",905,372,63,12920
anthonyzenkus,"May 15, 2024 08:41 PM","Joe Biden just approved a billion dollars worth of bombs and bullets to go to Israel so they can slaughter Palestinians in Rafah.  So all you Democrats who said ""look,  Biden is putting his foot down with Israel"" - we know you - and your genocidal president-  were full of shit.",1505,619,44,31610
anthonyzenkus,"January 20, 2024 06:34 PM",Its not a stretch that a party and a president who allows 68K Americans to die each year so they can keep taking donations from private insurance would also allow 2 million Palestinians to be genocided and starved to death so they can keep taking donations from AIPAC.,381,234,15,6644
anthonyzenkus,"January 17, 2024 02:22 AM","In Gaza, starving children are dying of hypothermia. Newborn babies of malnourished mothers are dying after a few days. This is famine, this is genocide and it all could have been stopped with one phone call from Joe Biden.",1305,488,43,16921
anthonyzenkus,"November 22, 2023 07:41 PM","UN expert: ""Gaza is complete and utter carnage"". He said its the worst thing hes ever seen. Israel is perpetrating the worst humanitarian crisis in modern times, aided and abetted by Joe Biden and the US government. No, a ""pause"" is not enough. We need a full #CeasefireNOW.",533,315,34,21785
anthonyzenkus,"July 08, 2024 02:22 AM","Breaking: The Lancet - one of the most respected medical journals in the world - estimates that even if Israel halted hostilities immediately, the total death toll of Palestinians in Gaza would reach at least 186,000, including indirect deaths from disease, starvation, lack of",644,358,39,22280
anthonyzenkus,"December 01, 2023 08:14 PM",Israel has resumed its genocidal attacks on the people of Gaza. Children are suffering the most as Israels forces bomb close to the largest functioning hospital left standing in Gaza. Biden is complicit. It is time to #StopArmingIsrael.   (report from UN - UNICEF spokesperson),796,541,57,53719
anthonyzenkus,"January 17, 2024 07:35 AM","Latest Gaza Casualty Numbers Total dead: 24,285 Total wounded: Over 60 000 Total killed, injured or missing: 1/20 Palestinians  Gaza genocide: brought to you by Israel, sponsored by Joe Biden and the US War machine",253,151,34,7044
jimmy_dore,"July 26, 2024 05:56 PM","This is AMAZING. Watch as Trumps says it is not the Palestinians blocking peace, but   Netanyahu that doesnt want to make a  deal  & is BLOCKING A PEACE DEAL.   This confirms everyones suspicions that Netanyahus plan all along was to wipe out the Palestinians, move those that",8554,2987,504,777965
