Subject_ID,Affiliation,Followers,Tweet_ID,Affiliation_Contrast,Before_Dates,Before_Likes,Before_Retweets,Before_Replies,Before_Views,prop_Warm,prop_Incompetence,prop_Cold,prop_Competence,prop_Jewish,prop_Muslim,prop_Arabic,prop_Israeli,prop_IDF,prop_Hamas,count_Warm,count_Incompetence,count_Cold,count_Competence,count_Jewish,count_Muslim,count_Arabic,count_Israeli,count_IDF,count_Hamas,words_Warm,words_Incompetence,words_Cold,words_Competence,words_Jewish,words_Muslim,words_Arabic,words_Israeli,words_IDF,words_Hamas,total_words,ColumnID,Text,Segment,Tone,Linguistic,adverb,adj,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,Hate_Score
39,Democratic Party,1000000,1685,0.5,"October 19, 2022 10:01 PM",7377,1882,481,1786934,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,[],[],[],[],"['jews', 'jews']",[],[],[],[],[],48,Before_Corpus,"Dershowitz said Trump asked him at dinner why only 27% of Jews voted for him when he strongly supported Israel. Dersh said he told Trump Jews also care about gay rights, abortion, climate change, gun control and separation of church and state, and he was terrible on those.",1,20.23,60.42,10.42,8.33,12.5,6.25,6.25,2.08,0.0,2.08,0.0,0.0,0.0,0.0,25.0,12.5,4.17,0.0,0.0,0.0,8.33,0.0027995980344712734
78,Republican Party,570400,2815,-0.5,"September 10, 2023 09:59 PM",8286,1572,320,346129,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,[],[],[],[],[],['islamic'],[],[],[],[],50,Before_Corpus,"Isn’t it crazy that almost no one in the political or media class talk about radical Islamic terrorism anymore. There’s no concern about it, and yet every emergency power that the government took in the name of terrorism, DHL, TSA, Patriot act, is just part of America now.",1,1.0,68.75,16.67,6.25,6.25,0.0,4.17,2.08,0.0,0.0,0.0,0.0,0.0,0.0,6.25,4.17,0.0,0.0,0.0,2.08,2.08,0.004996151197701693
52,Democratic Party,437700,9990,0.5,"July 21, 2023 02:20 PM",1442,271,23,27317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],44,Before_Corpus,"These ""rebels"" were also armed by Israel, which regularly bombs Syria to help enforce a US blockade. Meanwhile the US occupies 1/3 Syria, stealing its wheat/oil, and imposes sanctions that, as former senior Trump officials brag, have ""crushed"" Syrias economy, causing ""food",1,20.23,45.45,6.82,4.55,4.55,2.27,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.82,2.27,2.27,0.0,0.0,0.0,0.0,0.013521740213036537
20,Democratic Party,418700,8172,0.5,"June 15, 2023 05:53 PM",1814,549,252,241760,0.0,0.0,0.0,0.0,0.0,0.0,0.0217391304347826,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,[],[],[],[],[],[],['palestinian'],[],[],[],46,Before_Corpus,"""You want a presidential candidate. who has a backbone. If RFK Jr. thinks somehow that each Palestinian baby who was killed somehow was never in any way, intentional, deliberate, they didnt know what they were doing --he needs to really get off the crack pipe.""  Premiere",1,3.88,71.74,8.7,2.17,2.17,0.0,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.57,2.17,0.0,0.0,2.17,0.0,0.0,0.006638627965003252
92,Democratic Party,1500000,2671,0.5,"October 11, 2022 02:25 PM",1238,254,92,101793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],47,Before_Corpus,"4. Hatred, Lies and scapegoating are on the ballot as is a growing and dangerous menace of antisemitism.   The American experiment has been under a growing assault for seven years. It is not abating and it has become a frontal assault that is occurring in broad daylight.",1,1.0,68.09,0.0,4.26,8.51,0.0,8.51,2.13,0.0,2.13,0.0,2.13,0.0,0.0,6.38,6.38,0.0,0.0,4.26,0.0,0.0,0.00424023624509573
74,Democratic Party,1100000,3991,0.5,"February 03, 2023 03:11 PM",40744,6364,2622,1112594,0.0,0.0,0.0,0.0,0.0227272727272727,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,[],[],[],[],['jews'],[],[],[],[],[],44,Before_Corpus,"holy fucking shit, criticizing Israel is not antisemitic. what IS antisemitic is putting a holocaust-denying lunatic who thinks Jews control the weather on the Homeland Security Committee. sit the fuck down and shut the fuck up and spare us your fucking fake outrage",1,1.0,55.81,0.0,4.65,25.58,2.33,11.63,2.33,0.0,2.33,0.0,2.33,0.0,13.95,11.63,4.65,0.0,0.0,2.33,2.33,0.0,0.885610044002533
23,Republican Party,2600000,2599,-0.5,"September 11, 2023 11:00 PM",2454,240,384,363808,0.0,0.0,0.0,0.0,0.0,0.0208333333333333,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,[],[],[],[],[],['islamic'],[],[],[],[],48,Before_Corpus,"Today is Monday, September 11th and it marks the 22nd anniversary of the radical islamic terror attacks that killed some 3,000 Americans.  If you’re wondering where our president is today, it’s not New York, not Ground Zero, not DC, not Shanksville.   He’s in Alaska",1,1.0,54.55,2.27,4.55,9.09,2.27,6.82,2.27,0.0,2.27,2.27,0.0,0.0,0.0,13.64,4.55,0.0,0.0,4.55,0.0,0.0,0.1457623839378357
95,Republican Party,12400000,4847,-0.5,"July 31, 2023 05:30 PM",1688,533,384,183114,0.0,0.0,0.0,0.0,0.0232558139534883,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,[],[],[],[],['jews'],[],[],[],[],[],43,Before_Corpus,"Instead of taking personal responsibility like a man for his vile views about Jews, @emeriticus goes full leftist and like a coward, blames Trump!!!   ""In an interview. Gonzalez attributed the remarks to his descent into what he described as an ""online Trump world""",1,1.0,60.47,4.65,9.3,4.65,0.0,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.26,11.63,0.0,0.0,0.0,4.65,6.98,0.026107659563422203
17,Democratic Party,1400000,1805,0.5,"December 13, 2022 02:00 PM",2347,393,28,71921,0.0,0.0,0.0238095238095238,0.0,0.0238095238095238,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,[],[],['vicious'],[],['jewish'],[],[],[],[],[],42,Before_Corpus,"Leader Schumer: ""When the former President of the United States welcomes at his own dinner table several vicious antisemites and then, rather than apologize, he lectures American Jewish leaders for insufficient loyalty — it is incumbent on all of us to speak out.""",1,57.46,57.14,4.76,4.76,7.14,4.76,2.38,2.38,0.0,2.38,0.0,0.0,0.0,0.0,26.19,11.9,4.76,4.76,2.38,0.0,2.38,0.0048824092373251915
78,Republican Party,570400,1974,-0.5,"March 13, 2023 09:26 PM",2946,450,125,139621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],39,Before_Corpus,You cannot possibly compare NATOs interventions to Russias invasions. It requires both a deliberate ignorance of the scale and to deliberately ignore the history of Russian genocide in Ukraine.  Dont deliberately ignore the history of Russian genocide in Ukraine.,1,1.0,53.85,2.56,0.0,7.69,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,5.13,0.0,0.0,0.0,0.0,0.0,0.004745024256408215
