Influencer_Xhandle,Influencer_Name,Political_Follower_Name,Political_Followers_XHandle,Political_Followers,Political_Followers_Party,Occupation,Party Leaning,Known in US in General? ,Influencer,Number of Followers on X,Comments
@people4liberty,,Jason Buckley,@JBuckley2020,6,,,,,,,
@NRSC,,Cory Gardner,@CoryGardner,3,,,,,,,
@NRSC,,Jessica Taylor,@JessicaTaylorAL,3,,,,,,,
@NRSC,,Andy Williams Jr.,@hoodcandidate,3,,,,,,,
@AP,,"""Bill"" Cassidy",@BillCassidy,7,,,,,,,
@AP,,Allen Buckley,@BuckleyForGA,7,,,,,,,
@AP,,Kiani Gardner,@KianiGardner,7,,,,,,,
@AP,,Joe Sestak,@JoeSestak,7,,,,,,,
@AP,,Kaynen Pellegrino,@RCVAlabama,7,,,,,,,
@AP,,Mark Sanford,@MarkSanford,7,,,,,,,
@AP,,Al Bartell,@BartellforGov,7,,,,,,,
@AJC,,President Boddie,@boddieforga,4,,,,,,,
@AJC,,Ed Tarver,@edtarverga,4,,,,,,,
@AJC,,Allen Buckley,@BuckleyForGA,4,,,,,,,
@AJC,,A. Wayne Johnson,@WayneJohnson4GA,4,,,,,,,
@RewiringAmerica,,President Boddie,@boddieforga,3,,,,,,,
@RewiringAmerica,,Deborah Jackson,@MayorDAJackson,3,,,,,,,
@RewiringAmerica,,Elizabeth Warren,@ewarren,3,,,,,,,
@bluestein,,President Boddie,@boddieforga,4,,,,,,,
@bluestein,,Ed Tarver,@edtarverga,4,,,,,,,
@bluestein,,Allen Buckley,@BuckleyForGA,4,,,,,,,
@bluestein,,A. Wayne Johnson,@WayneJohnson4GA,4,,,,,,,
@ossoff,,President Boddie,@boddieforga,4,,,,,,,
@ossoff,,Ed Tarver,@edtarverga,4,,,,,,,
@ossoff,,Kiani Gardner,@KianiGardner,4,,,,,,,
@ossoff,,Jaime Harrison,@harrisonjaime,4,,,,,,,
@politicallyga,,President Boddie,@boddieforga,4,,,,,,,
@politicallyga,,Ed Tarver,@edtarverga,4,,,,,,,
@politicallyga,,Allen Buckley,@BuckleyForGA,4,,,,,,,
@politicallyga,,A. Wayne Johnson,@WayneJohnson4GA,4,,,,,,,
@staceyabrams,,President Boddie,@boddieforga,3,,,,,,,
@staceyabrams,,Deborah Jackson,@MayorDAJackson,3,,,,,,,
@staceyabrams,,Elizabeth Warren,@ewarren,3,,,,,,,
@wabenews,,President Boddie,@boddieforga,4,,,,,,,
@wabenews,,Ed Tarver,@edtarverga,4,,,,,,,
@wabenews,,Allen Buckley,@BuckleyForGA,4,,,,,,,
@wabenews,,A. Wayne Johnson,@WayneJohnson4GA,4,,,,,,,
@BarbMcQuade,,Ed Tarver,@edtarverga,3,,,,,,,
@BarbMcQuade,,Amy McGrath,@AmyMcGrathKY,3,,,,,,,
@BarbMcQuade,,Matthew Matern,@Matern2020,3,,,,,,,
@HoodtotheHoller,,Ed Tarver,@edtarverga,3,,,,,,,
@HoodtotheHoller,,Adia Winfrey,@drdia,3,,,,,,,
@HoodtotheHoller,,Bernie Sanders,@BernieSanders,3,,,,,,,
@JoyceWhiteVance,,Ed Tarver,@edtarverga,6,,,,,,,
@JoyceWhiteVance,,Kaynen Pellegrino,@RCVAlabama,6,,,,,,,
@JoyceWhiteVance,,Eric Swalwell,@ericswalwell,6,,,,,,,
@JoyceWhiteVance,,Chris Janicek,@CJSenate2020,6,,,,,,,
@JoyceWhiteVance,,Matthew Matern,@Matern2020,6,,,,,,,
@JoyceWhiteVance,,Jaime Harrison,@harrisonjaime,6,,,,,,,
@Lakers,,Ed Tarver,@edtarverga,4,,,,,,,
@Lakers,,Kiani Gardner,@KianiGardner,4,,,,,,,
@Lakers,,Amy McGrath,@AmyMcGrathKY,4,,,,,,,
@Lakers,,Cal Cunningham,@CalforNC,4,,,,,,,
@Marvel,,Ed Tarver,@edtarverga,5,,,,,,,
@Marvel,,Kiani Gardner,@KianiGardner,5,,,,,,,
@Marvel,,Amy McGrath,@AmyMcGrathKY,5,,,,,,,
@Marvel,,Amy Colter,@AmyColter,5,,,,,,,
@Marvel,,Cal Cunningham,@CalforNC,5,,,,,,,
@SenWarren,,Ed Tarver,@edtarverga,5,,,,,,,
@SenWarren,,Elizabeth Warren,@ewarren,5,,,,,,,
@SenWarren,,Barbara Ruth Bellar,@BarbaraBellar,5,,,,,,,
@SenWarren,,Jensen Bohren,@BohrenJensen,5,,,,,,,
@SenWarren,,Kamala D. Harris,@KamalaHarris,5,,,,,,,
@UALawSchool,,Ed Tarver,@edtarverga,6,,,,,,,
@UALawSchool,,Kaynen Pellegrino,@RCVAlabama,6,,,,,,,
@UALawSchool,,Eric Swalwell,@ericswalwell,6,,,,,,,
@UALawSchool,,Chris Janicek,@CJSenate2020,6,,,,,,,
@UALawSchool,,Matthew Matern,@Matern2020,6,,,,,,,
@UALawSchool,,Jaime Harrison,@harrisonjaime,6,,,,,,,
@UMichLaw,,Ed Tarver,@edtarverga,3,,,,,,,
@UMichLaw,,Amy McGrath,@AmyMcGrathKY,3,,,,,,,
@UMichLaw,,Matthew Matern,@Matern2020,3,,,,,,,
@WWE,,Ed Tarver,@edtarverga,4,,,,,,,
@WWE,,Kiani Gardner,@KianiGardner,4,,,,,,,
@WWE,,Amy McGrath,@AmyMcGrathKY,4,,,,,,,
@WWE,,Cal Cunningham,@CalforNC,4,,,,,,,
@harrisonjaime,,Ed Tarver,@edtarverga,5,,,,,,,
@harrisonjaime,,Kiani Gardner,@KianiGardner,5,,,,,,,
@harrisonjaime,,Amy McGrath,@AmyMcGrathKY,5,,,,,,,
@harrisonjaime,,Cal Cunningham,@CalforNC,5,,,,,,,
@harrisonjaime,,Jaime Harrison,@harrisonjaime,5,,,,,,,
@tedlieu,,Ed Tarver,@edtarverga,8,,,,,,,
@tedlieu,,Eric Swalwell,@ericswalwell,8,,,,,,,
@tedlieu,,The Lincoln Project,@ProjectLincoln,8,,,,,,,
@tedlieu,,Bennie J. Smith,@BennieJSmith1,8,,,,,,,
@tedlieu,,Chris Janicek,@CJSenate2020,8,,,,,,,
@tedlieu,,Pete Buttigieg,@PeteButtigieg,8,,,,,,,
@tedlieu,,Gidget Groendyk,@GroendykGidget,8,,,,,,,
@tedlieu,,Jaime Harrison,@harrisonjaime,8,,,,,,,
@LPNational,,Allen Buckley,@BuckleyForGA,12,,,,,,,
@LPNational,,Justin Amash,@justinamash,12,,,,,,,
@LPNational,,Jo Jorgensen,@JoForLiberty,12,,,,,,,
@LPNational,,Allen R. Waters,@AllenWatersUSA,12,,,,,,,
@LPNational,,Lincoln Chafee,@LincolnChafee,12,,,,,,,
@LPNational,,Brad Barron,@barron_ky,12,,,,,,,
@LPNational,,Mark Stewart Greenstein,@Stewart4Liberty,12,,,,,,,
@LPNational,,Max Abramson,@RepAbramson,12,,,,,,,
@LPNational,,Kenneth Blevins,@LibertyCowboyKB,12,,,,,,,
@LPNational,,John Monds,@ElectMonds,12,,,,,,,
@LPNational,,Joe McHugh,@votejoemchugh,12,,,,,,,
@LPNational,,Jason Buckley,@JBuckley2020,12,,,,,,,
@ajc,,Allen Buckley,@BuckleyForGA,5,,,,,,,
@ajc,,A. Wayne Johnson,@WayneJohnson4GA,5,,,,,,,
@ajc,,Kiani Gardner,@KianiGardner,5,,,,,,,
@ajc,,Kaynen Pellegrino,@RCVAlabama,5,,,,,,,
@ajc,,Deborah Jackson,@MayorDAJackson,5,,,,,,,
@RacePowerPolicy,,Adia Winfrey,@drdia,5,,,,,,,
@RacePowerPolicy,,Sedinam Moyowasifza-Curry,@skcmcurry,5,,,,,,,
@RacePowerPolicy,,Brian Matlock,@KansasBrian,5,,,,,,,
@RacePowerPolicy,,Justice Democrats,@justicedems,5,,,,,,,
@RacePowerPolicy,,Jensen Bohren,@BohrenJensen,5,,,,,,,
@ninaturner,,Adia Winfrey,@drdia,5,,,,,,,
@ninaturner,,Sedinam Moyowasifza-Curry,@skcmcurry,5,,,,,,,
@ninaturner,,Brian Matlock,@KansasBrian,5,,,,,,,
@ninaturner,,Justice Democrats,@justicedems,5,,,,,,,
@ninaturner,,Jensen Bohren,@BohrenJensen,5,,,,,,,
@elonmusk,,Robert McGee,@rmcgeeUShouseSC,4,,,,,,,
@elonmusk,,Gene Siadek,@gsiadek,4,,,,,,,
@elonmusk,,Jason Buckley,@JBuckley2020,4,,,,,,,
@elonmusk,,Gary Dye,@GaryLyndonDye,4,,,,,,,
@JohnArchibald,,Kiani Gardner,@KianiGardner,3,,,,,,,
@JohnArchibald,,Doug Jones,@DougJonesHQ,3,,,,,,,
@JohnArchibald,,Kaynen Pellegrino,@RCVAlabama,3,,,,,,,
@Niemanfdn,,Kiani Gardner,@KianiGardner,3,,,,,,,
@Niemanfdn,,Doug Jones,@DougJonesHQ,3,,,,,,,
@Niemanfdn,,Kaynen Pellegrino,@RCVAlabama,3,,,,,,,
@latimes,,Kiani Gardner,@KianiGardner,3,,,,,,,
@latimes,,Kaynen Pellegrino,@RCVAlabama,3,,,,,,,
@latimes,,Frank Scurlock,@FrankScurlock2,3,,,,,,,
@nytimes,,Kiani Gardner,@KianiGardner,6,,,,,,,
@nytimes,,Jeffrey Alan Grunau,@JeffreyGrunau,6,,,,,,,
@nytimes,,Kaynen Pellegrino,@RCVAlabama,6,,,,,,,
@nytimes,,Gaylon Kent,@GaylonKent,6,,,,,,,
@nytimes,,Donald Eugene Lowe,@USPresidentLowe,6,,,,,,,
@nytimes,,Mark Stewart Greenstein,@Stewart4Liberty,6,,,,,,,
@AOC,,A.D. Nesbit,@nesbit_ok,4,,,,,,,
@AOC,,Brian Ellison,@BEllisonSaysHi,4,,,,,,,
@AOC,,"Annie ""Mamá"" Garcia",@AnnieMamaGarcia,4,,,,,,,
@AOC,,Jeffrey Alan Grunau,@JeffreyGrunau,4,,,,,,,
@WedgeSquared,,Brian Ellison,@BEllisonSaysHi,3,,,,,,,
@WedgeSquared,,Lincoln Chafee,@LincolnChafee,3,,,,,,,
@WedgeSquared,,Mark Stewart Greenstein,@Stewart4Liberty,3,,,,,,,
@TheWeekendMSNBC,,"Annie ""Mamá"" Garcia",@AnnieMamaGarcia,4,,,,,,,
@TheWeekendMSNBC,,Bennie J. Smith,@BennieJSmith1,4,,,,,,,
@TheWeekendMSNBC,,Jim Vandermaas,@votevandermaas,4,,,,,,,
@TheWeekendMSNBC,,Gidget Groendyk,@GroendykGidget,4,,,,,,,
@griffinkyle,,"Annie ""Mamá"" Garcia",@AnnieMamaGarcia,4,,,,,,,
@griffinkyle,,Bennie J. Smith,@BennieJSmith1,4,,,,,,,
@griffinkyle,,Jim Vandermaas,@votevandermaas,4,,,,,,,
@griffinkyle,,Gidget Groendyk,@GroendykGidget,4,,,,,,,
@kylegriffin1,,"Annie ""Mamá"" Garcia",@AnnieMamaGarcia,4,,,,,,,
@kylegriffin1,,Bennie J. Smith,@BennieJSmith1,4,,,,,,,
@kylegriffin1,,Jim Vandermaas,@votevandermaas,4,,,,,,,
@kylegriffin1,,Gidget Groendyk,@GroendykGidget,4,,,,,,,
@BernieSanders,,Jeffrey Alan Grunau,@JeffreyGrunau,5,,,,,,,
@BernieSanders,,Marianne Williamson,@marwilliamson,5,,,,,,,
@BernieSanders,,Bernie Sanders,@BernieSanders,5,,,,,,,
@BernieSanders,,Barbara Ruth Bellar,@BarbaraBellar,5,,,,,,,
@BernieSanders,,Jensen Bohren,@BohrenJensen,5,,,,,,,
@CFPB,,Jeffrey Alan Grunau,@JeffreyGrunau,6,,,,,,,
@CFPB,,Barbara Ruth Bellar,@BarbaraBellar,6,,,,,,,
@CFPB,,Jensen Bohren,@BohrenJensen,6,,,,,,,
@CFPB,,Kamala D. Harris,@KamalaHarris,6,,,,,,,
@CFPB,,Pete Buttigieg,@PeteButtigieg,6,,,,,,,
@CFPB,,Jim Vandermaas,@votevandermaas,6,,,,,,,
@ewarren,,Jeffrey Alan Grunau,@JeffreyGrunau,7,,,,,,,
@ewarren,,Elizabeth Warren,@ewarren,7,,,,,,,
@ewarren,,Barbara Ruth Bellar,@BarbaraBellar,7,,,,,,,
@ewarren,,Jensen Bohren,@BohrenJensen,7,,,,,,,
@ewarren,,Kamala D. Harris,@KamalaHarris,7,,,,,,,
@ewarren,,Pete Buttigieg,@PeteButtigieg,7,,,,,,,
@ewarren,,Jim Vandermaas,@votevandermaas,7,,,,,,,
@JohnFetterman,,Joe Sestak,@JoeSestak,3,,,,,,,
@JohnFetterman,,Jensen Bohren,@BohrenJensen,3,,,,,,,
@JohnFetterman,,Pete Buttigieg,@PeteButtigieg,3,,,,,,,
@UNC,,Mark Sanford,@MarkSanford,3,,,,,,,
@UNC,,Michael Bennet,@MichaelBennet,3,,,,,,,
@UNC,,Keith Davenport,@Davenport4POTUS,3,,,,,,,
@DrJillStein,,Al Bartell,@BartellforGov,4,,,,,,,
@DrJillStein,,"James G. ""Jesse Ventura"" Janos",@GovJVentura,4,,,,,,,
@DrJillStein,,David B. Collins,@dbcgreentx,4,,,,,,,
@DrJillStein,,Howie Hawkins,@HowieHawkins,4,,,,,,,
@BuenoForMiami,,Keenan Dunham,@Kdunham4peace,3,,,,,,,
@BuenoForMiami,,Jo Jorgensen,@JoForLiberty,3,,,,,,,
@BuenoForMiami,,Brad Barron,@barron_ky,3,,,,,,,
@HannahDCox,,Keenan Dunham,@Kdunham4peace,6,,,,,,,
@HannahDCox,,Justin Amash,@justinamash,6,,,,,,,
@HannahDCox,,Jo Jorgensen,@JoForLiberty,6,,,,,,,
@HannahDCox,,Jacob Hornberger,@JacobforLiberty,6,,,,,,,
@HannahDCox,,Kenneth Blevins,@LibertyCowboyKB,6,,,,,,,
@HannahDCox,,Joe McHugh,@votejoemchugh,6,,,,,,,
@LPNH,,Keenan Dunham,@Kdunham4peace,5,,,,,,,
@LPNH,,Jacob Hornberger,@JacobforLiberty,5,,,,,,,
@LPNH,,Brad Barron,@barron_ky,5,,,,,,,
@LPNH,,John Monds,@ElectMonds,5,,,,,,,
@LPNH,,Joe McHugh,@votejoemchugh,5,,,,,,,
@ShaneTHazel,,Keenan Dunham,@Kdunham4peace,7,,,,,,,
@ShaneTHazel,,Jo Jorgensen,@JoForLiberty,7,,,,,,,
@ShaneTHazel,,Jacob Hornberger,@JacobforLiberty,7,,,,,,,
@ShaneTHazel,,Brad Barron,@barron_ky,7,,,,,,,
@ShaneTHazel,,Kenneth Blevins,@LibertyCowboyKB,7,,,,,,,
@ShaneTHazel,,John Monds,@ElectMonds,7,,,,,,,
@ShaneTHazel,,Joe McHugh,@votejoemchugh,7,,,,,,,
@Swan,,Keenan Dunham,@Kdunham4peace,7,,,,,,,
@Swan,,Jo Jorgensen,@JoForLiberty,7,,,,,,,
@Swan,,Jacob Hornberger,@JacobforLiberty,7,,,,,,,
@Swan,,Brad Barron,@barron_ky,7,,,,,,,
@Swan,,Kenneth Blevins,@LibertyCowboyKB,7,,,,,,,
@Swan,,John Monds,@ElectMonds,7,,,,,,,
@Swan,,Joe McHugh,@votejoemchugh,7,,,,,,,
@angela4LNCChair,,Keenan Dunham,@Kdunham4peace,7,,,,,,,
@angela4LNCChair,,Justin Amash,@justinamash,7,,,,,,,
@angela4LNCChair,,Jo Jorgensen,@JoForLiberty,7,,,,,,,
@angela4LNCChair,,Jacob Hornberger,@JacobforLiberty,7,,,,,,,
@angela4LNCChair,,Brad Barron,@barron_ky,7,,,,,,,
@angela4LNCChair,,John Monds,@ElectMonds,7,,,,,,,
@angela4LNCChair,,Joe McHugh,@votejoemchugh,7,,,,,,,
@beinlibertarian,,Keenan Dunham,@Kdunham4peace,7,,,,,,,
@beinlibertarian,,Jo Jorgensen,@JoForLiberty,7,,,,,,,
@beinlibertarian,,Brad Barron,@barron_ky,7,,,,,,,
@beinlibertarian,,Max Abramson,@RepAbramson,7,,,,,,,
@beinlibertarian,,Kenneth Blevins,@LibertyCowboyKB,7,,,,,,,
@beinlibertarian,,John Monds,@ElectMonds,7,,,,,,,
@beinlibertarian,,Joe McHugh,@votejoemchugh,7,,,,,,,
@lpnational,,Keenan Dunham,@Kdunham4peace,7,,,,,,,
@lpnational,,Justin Amash,@justinamash,7,,,,,,,
@lpnational,,Jo Jorgensen,@JoForLiberty,7,,,,,,,
@lpnational,,Jacob Hornberger,@JacobforLiberty,7,,,,,,,
@lpnational,,Brad Barron,@barron_ky,7,,,,,,,
@lpnational,,John Monds,@ElectMonds,7,,,,,,,
@lpnational,,Joe McHugh,@votejoemchugh,7,,,,,,,
@whitecoatwaste,,Keenan Dunham,@Kdunham4peace,6,,,,,,,
@whitecoatwaste,,Justin Amash,@justinamash,6,,,,,,,
@whitecoatwaste,,Jo Jorgensen,@JoForLiberty,6,,,,,,,
@whitecoatwaste,,Jacob Hornberger,@JacobforLiberty,6,,,,,,,
@whitecoatwaste,,Kenneth Blevins,@LibertyCowboyKB,6,,,,,,,
@whitecoatwaste,,Joe McHugh,@votejoemchugh,6,,,,,,,
@ChaseForLiberty,,Justin Amash,@justinamash,4,,,,,,,
@ChaseForLiberty,,Jo Jorgensen,@JoForLiberty,4,,,,,,,
@ChaseForLiberty,,Brad Barron,@barron_ky,4,,,,,,,
@ChaseForLiberty,,Kenneth Blevins,@LibertyCowboyKB,4,,,,,,,
@DCExaminer,,Justin Amash,@justinamash,3,,,,,,,
@DCExaminer,,Jo Jorgensen,@JoForLiberty,3,,,,,,,
@DCExaminer,,Joe McHugh,@votejoemchugh,3,,,,,,,
@LPTN1776,,Justin Amash,@justinamash,6,,,,,,,
@LPTN1776,,Jo Jorgensen,@JoForLiberty,6,,,,,,,
@LPTN1776,,Jacob Hornberger,@JacobforLiberty,6,,,,,,,
@LPTN1776,,Brad Barron,@barron_ky,6,,,,,,,
@LPTN1776,,Kenneth Blevins,@LibertyCowboyKB,6,,,,,,,
@LPTN1776,,John Monds,@ElectMonds,6,,,,,,,
@NYPost,,Justin Amash,@justinamash,3,,,,,,,
@NYPost,,Jo Jorgensen,@JoForLiberty,3,,,,,,,
@NYPost,,Joe McHugh,@votejoemchugh,3,,,,,,,
@ReasonFdn,,Justin Amash,@justinamash,3,,,,,,,
@ReasonFdn,,Jo Jorgensen,@JoForLiberty,3,,,,,,,
@ReasonFdn,,John Monds,@ElectMonds,3,,,,,,,
@ToddHagopian,,Justin Amash,@justinamash,8,,,,,,,
@ToddHagopian,,Jo Jorgensen,@JoForLiberty,8,,,,,,,
@ToddHagopian,,Jacob Hornberger,@JacobforLiberty,8,,,,,,,
@ToddHagopian,,Brad Barron,@barron_ky,8,,,,,,,
@ToddHagopian,,Max Abramson,@RepAbramson,8,,,,,,,
@ToddHagopian,,Kenneth Blevins,@LibertyCowboyKB,8,,,,,,,
@ToddHagopian,,John Monds,@ElectMonds,8,,,,,,,
@ToddHagopian,,Joe McHugh,@votejoemchugh,8,,,,,,,
@brad_polumbo,,Justin Amash,@justinamash,3,,,,,,,
@brad_polumbo,,Jo Jorgensen,@JoForLiberty,3,,,,,,,
@brad_polumbo,,Joe McHugh,@votejoemchugh,3,,,,,,,
@checkmatestate,,Justin Amash,@justinamash,5,,,,,,,
@checkmatestate,,Jo Jorgensen,@JoForLiberty,5,,,,,,,
@checkmatestate,,Jacob Hornberger,@JacobforLiberty,5,,,,,,,
@checkmatestate,,Max Abramson,@RepAbramson,5,,,,,,,
@checkmatestate,,John Monds,@ElectMonds,5,,,,,,,
@reason,,Justin Amash,@justinamash,3,,,,,,,
@reason,,Jo Jorgensen,@JoForLiberty,3,,,,,,,
@reason,,John Monds,@ElectMonds,3,,,,,,,
@AmyKremer,,Jessica Taylor,@JessicaTaylorAL,3,,,,,,,
@AmyKremer,,David A. Perdue,@DavidPerdueGA,3,,,,,,,
@AmyKremer,,Doug Collins,@CollinsforGA,3,,,,,,,
@GAGOP,,Jessica Taylor,@JessicaTaylorAL,3,,,,,,,
@GAGOP,,David A. Perdue,@DavidPerdueGA,3,,,,,,,
@GAGOP,,Doug Collins,@CollinsforGA,3,,,,,,,
@america1stwomen,,Jessica Taylor,@JessicaTaylorAL,3,,,,,,,
@america1stwomen,,David A. Perdue,@DavidPerdueGA,3,,,,,,,
@america1stwomen,,Doug Collins,@CollinsforGA,3,,,,,,,
@womenfortrump,,Jessica Taylor,@JessicaTaylorAL,3,,,,,,,
@womenfortrump,,David A. Perdue,@DavidPerdueGA,3,,,,,,,
@womenfortrump,,Doug Collins,@CollinsforGA,3,,,,,,,
@JulianCastro,,Andrew Yang,@AndrewYang,3,,,,,,,
@JulianCastro,,Elizabeth Warren,@ewarren,3,,,,,,,
@JulianCastro,,Julián Castro,@JulianCastro,3,,,,,,,
@RepRaskin,,Andrew Yang,@AndrewYang,4,,,,,,,
@RepRaskin,,Eric Swalwell,@ericswalwell,4,,,,,,,
@RepRaskin,,Pete Buttigieg,@PeteButtigieg,4,,,,,,,
@RepRaskin,,Jaime Harrison,@harrisonjaime,4,,,,,,,
@AdamKinzinger,,Eric Swalwell,@ericswalwell,3,,,,,,,
@AdamKinzinger,,Joe Walsh,@WalshFreedom,3,,,,,,,
@AdamKinzinger,,The Lincoln Project,@ProjectLincoln,3,,,,,,,
@AirNatlGuard,,Eric Swalwell,@ericswalwell,3,,,,,,,
@AirNatlGuard,,Joe Walsh,@WalshFreedom,3,,,,,,,
@AirNatlGuard,,The Lincoln Project,@ProjectLincoln,3,,,,,,,
@DemocracyDocket,,Eric Swalwell,@ericswalwell,4,,,,,,,
@DemocracyDocket,,The Lincoln Project,@ProjectLincoln,4,,,,,,,
@DemocracyDocket,,Pete Buttigieg,@PeteButtigieg,4,,,,,,,
@DemocracyDocket,,Jaime Harrison,@harrisonjaime,4,,,,,,,
@EliasLawGroup,,Eric Swalwell,@ericswalwell,4,,,,,,,
@EliasLawGroup,,The Lincoln Project,@ProjectLincoln,4,,,,,,,
@EliasLawGroup,,Pete Buttigieg,@PeteButtigieg,4,,,,,,,
@EliasLawGroup,,Jaime Harrison,@harrisonjaime,4,,,,,,,
@HouseDemocrats,,Eric Swalwell,@ericswalwell,4,,,,,,,
@HouseDemocrats,,Elizabeth Warren,@ewarren,4,,,,,,,
@HouseDemocrats,,Jim Vandermaas,@votevandermaas,4,,,,,,,
@HouseDemocrats,,Jaime Harrison,@harrisonjaime,4,,,,,,,
@MeidasTouch,,Eric Swalwell,@ericswalwell,6,,,,,,,
@MeidasTouch,,Joe Walsh,@WalshFreedom,6,,,,,,,
@MeidasTouch,,The Lincoln Project,@ProjectLincoln,6,,,,,,,
@MeidasTouch,,Bennie J. Smith,@BennieJSmith1,6,,,,,,,
@MeidasTouch,,Pete Buttigieg,@PeteButtigieg,6,,,,,,,
@MeidasTouch,,Jim Vandermaas,@votevandermaas,6,,,,,,,
@RepAdamSchiff,,Eric Swalwell,@ericswalwell,4,,,,,,,
@RepAdamSchiff,,The Lincoln Project,@ProjectLincoln,4,,,,,,,
@RepAdamSchiff,,Pete Buttigieg,@PeteButtigieg,4,,,,,,,
@RepAdamSchiff,,Jim Vandermaas,@votevandermaas,4,,,,,,,
@RepJeffries,,Eric Swalwell,@ericswalwell,3,,,,,,,
@RepJeffries,,Jim Vandermaas,@votevandermaas,3,,,,,,,
@RepJeffries,,Jaime Harrison,@harrisonjaime,3,,,,,,,
@TheRickWilson,,Eric Swalwell,@ericswalwell,5,,,,,,,
@TheRickWilson,,Joe Walsh,@WalshFreedom,5,,,,,,,
@TheRickWilson,,The Lincoln Project,@ProjectLincoln,5,,,,,,,
@TheRickWilson,,Pete Buttigieg,@PeteButtigieg,5,,,,,,,
@TheRickWilson,,Jim Vandermaas,@votevandermaas,5,,,,,,,
@country_f1rst,,Eric Swalwell,@ericswalwell,3,,,,,,,
@country_f1rst,,Joe Walsh,@WalshFreedom,3,,,,,,,
@country_f1rst,,The Lincoln Project,@ProjectLincoln,3,,,,,,,
@ericswalwell,,Eric Swalwell,@ericswalwell,5,,,,,,,
@ericswalwell,,Amy McGrath,@AmyMcGrathKY,5,,,,,,,
@ericswalwell,,Joe Walsh,@WalshFreedom,5,,,,,,,
@ericswalwell,,Chris Janicek,@CJSenate2020,5,,,,,,,
@ericswalwell,,Jaime Harrison,@harrisonjaime,5,,,,,,,
@marceelias,,Eric Swalwell,@ericswalwell,4,,,,,,,
@marceelias,,The Lincoln Project,@ProjectLincoln,4,,,,,,,
@marceelias,,Pete Buttigieg,@PeteButtigieg,4,,,,,,,
@marceelias,,Jaime Harrison,@harrisonjaime,4,,,,,,,
@nafo,,Eric Swalwell,@ericswalwell,3,,,,,,,
@nafo,,Joe Walsh,@WalshFreedom,3,,,,,,,
@nafo,,The Lincoln Project,@ProjectLincoln,3,,,,,,,
@natsechobbyist,,Eric Swalwell,@ericswalwell,3,,,,,,,
@natsechobbyist,,Amy McGrath,@AmyMcGrathKY,3,,,,,,,
@natsechobbyist,,Joe Walsh,@WalshFreedom,3,,,,,,,
@AmyMcGrathKY,,Amy McGrath,@AmyMcGrathKY,3,,,,,,,
@AmyMcGrathKY,,Eddie J. Mauro,@eddiejmauro,3,,,,,,,
@AmyMcGrathKY,,Cal Cunningham,@CalforNC,3,,,,,,,
@clairecmc,,Amy McGrath,@AmyMcGrathKY,3,,,,,,,
@clairecmc,,Joe Walsh,@WalshFreedom,3,,,,,,,
@clairecmc,,Jaime Harrison,@harrisonjaime,3,,,,,,,
@AmpedUpPodcast,,Sedinam Moyowasifza-Curry,@skcmcurry,6,,,,,,,
@AmpedUpPodcast,,Marianne Williamson,@marwilliamson,6,,,,,,,
@AmpedUpPodcast,,David B. Collins,@dbcgreentx,6,,,,,,,
@AmpedUpPodcast,,Joseph Kishore,@jkishore,6,,,,,,,
@AmpedUpPodcast,,Howie Hawkins,@HowieHawkins,6,,,,,,,
@AmpedUpPodcast,,Brian Matlock,@KansasBrian,6,,,,,,,
@BadFaithPod,,Sedinam Moyowasifza-Curry,@skcmcurry,7,,,,,,,
@BadFaithPod,,"James G. ""Jesse Ventura"" Janos",@GovJVentura,7,,,,,,,
@BadFaithPod,,Marianne Williamson,@marwilliamson,7,,,,,,,
@BadFaithPod,,David B. Collins,@dbcgreentx,7,,,,,,,
@BadFaithPod,,Howie Hawkins,@HowieHawkins,7,,,,,,,
@BadFaithPod,,Brian Matlock,@KansasBrian,7,,,,,,,
@BadFaithPod,,Justice Democrats,@justicedems,7,,,,,,,
@LeeCamp,,Sedinam Moyowasifza-Curry,@skcmcurry,4,,,,,,,
@LeeCamp,,"James G. ""Jesse Ventura"" Janos",@GovJVentura,4,,,,,,,
@LeeCamp,,David B. Collins,@dbcgreentx,4,,,,,,,
@LeeCamp,,Howie Hawkins,@HowieHawkins,4,,,,,,,
@ProudSocialist,,Sedinam Moyowasifza-Curry,@skcmcurry,6,,,,,,,
@ProudSocialist,,Marianne Williamson,@marwilliamson,6,,,,,,,
@ProudSocialist,,David B. Collins,@dbcgreentx,6,,,,,,,
@ProudSocialist,,Joseph Kishore,@jkishore,6,,,,,,,
@ProudSocialist,,Howie Hawkins,@HowieHawkins,6,,,,,,,
@ProudSocialist,,Brian Matlock,@KansasBrian,6,,,,,,,
@RisingTheHill,,Sedinam Moyowasifza-Curry,@skcmcurry,7,,,,,,,
@RisingTheHill,,"James G. ""Jesse Ventura"" Janos",@GovJVentura,7,,,,,,,
@RisingTheHill,,Marianne Williamson,@marwilliamson,7,,,,,,,
@RisingTheHill,,David B. Collins,@dbcgreentx,7,,,,,,,
@RisingTheHill,,Howie Hawkins,@HowieHawkins,7,,,,,,,
@RisingTheHill,,Brian Matlock,@KansasBrian,7,,,,,,,
@RisingTheHill,,Justice Democrats,@justicedems,7,,,,,,,
@SocialistMMA,,Sedinam Moyowasifza-Curry,@skcmcurry,4,,,,,,,
@SocialistMMA,,Marianne Williamson,@marwilliamson,4,,,,,,,
