Subject_ID,Affiliation,Followers,Tweet_ID,Affiliation_Contrast,After_Dates,After_Corpus,After_Likes,After_Retweets,After_Replies,After_Views,prop_Israeli,prop_Warm,prop_Competence,prop_Incompetence,prop_Cold,prop_Jewish,prop_Muslim,prop_Arabic,prop_IDF,prop_Hamas,count_Israeli,count_Warm,count_Competence,count_Incompetence,count_Cold,count_Jewish,count_Muslim,count_Arabic,count_IDF,count_Hamas,words_Israeli,words_Warm,words_Competence,words_Incompetence,words_Cold,words_Jewish,words_Muslim,words_Arabic,words_IDF,words_Hamas,total_words
39,Democratic Party,1000000.0,652,0.5,"July 26, 2024 06:08 PM",Trump to Netanyahu today: “No president has done what I’ve done for Israel.”,1442,477,1015,159490,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,['netanyahu'],[],[],[],[],[],[],[],[],[],14
17,Democratic Party,1400000.0,272,0.5,"August 22, 2024 03:45 PM","Trump ranted last night about Gov. Josh Shapiro — calling him ""the highly overrated Jewish Governor"" and claiming he has done ""nothing for Israel.""  In response, White House spokesman Herbie Ziskend says: ""It is Antisemitic, dangerous, and hurtful to attack a fellow American by",3419,781,53,173122,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,[],[],[],[],[],['jewish'],[],[],[],[],43
30,Republican Party,201800000.0,390,-0.5,"January 09, 2024 12:46 AM","This was a tough call.   While many government leaders, including in the USA, do call for killing people, we have a “UN exemption rule”; if a government is recognized by the UN, we will not suspend their accounts.  Hamas is not recognized as a government by the UN, so was",4181,1527,3697,941056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0,0,0,0,0,0,0,0,0,1,[],[],[],[],[],[],[],[],[],['hamas'],50
71,Democratic Party,146800.0,250,0.5,"May 08, 2024 02:52 PM","This is what Israels ""war"" is doing in Rafah.  This is not ""victory."" Its a project of genocidal desperation aided and abetted by the U.S. and its European vassals.",1617,811,80,39041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],30
95,Republican Party,12400000.0,779,-0.5,"October 07, 2023 04:19 PM",This is from the US Embassy in Israel urging Israel to not retaliate under unprecedented circumstances… a literal  attack on their very existence. It’s absolutely unbelievable. Like so many examples here in the United States. The left thinks you should be OK with your own demise,19049,6342,2625,2890410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],47
39,Democratic Party,1000000.0,217,0.5,"October 18, 2023 02:41 PM","This is a very thoughtful, measured and perfect statement to make. Delivering it in Israel makes it even more powerful. It is inconceivable that Trump could ever make such a statement.",5266,1039,155,383783,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,[],[],['powerful'],[],['perfect'],[],[],[],[],[],31
16,Democratic Party,628500.0,174,0.5,"July 26, 2024 05:56 PM","This is AMAZING. Watch as Trumps says it is not the Palestinians blocking peace, but   Netanyahu that doesnt want to make a  deal  & is BLOCKING A PEACE DEAL.   This confirms everyones suspicions that Netanyahus plan all along was to wipe out the Palestinians, move those that",8504,2964,503,779606,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,1,0,0,0,0,0,0,2,0,0,['netanyahu'],[],[],[],[],[],[],"['palestinians', 'palestinians']",[],[],46
52,Democratic Party,437700.0,236,0.5,"January 10, 2024 05:47 AM","This headline -- erasing the ""cost"" of 23,000+ Palestinians killed by the invading Israeli army, plus many more wounded, maimed, and displaced -- only underscores that the NYT should change its name to the Nazi Yisrael Times:",5222,2155,150,100776,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,1,0,0,0,0,0,0,1,0,0,['israeli'],[],[],[],[],[],[],['palestinians'],[],[],36
41,Republican Party,7000000.0,293,-0.5,"November 01, 2023 10:55 AM","This creates a catch-22. If Israel does not defend itself, Israel is destroyed. If Israel does defend itself while Hamas hides behind civilians, the media blast out these images. So what, precisely, is Israel supposed to do? World opinion will not govern Jewish survival.",11133,2851,7616,6463090,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.022222222222222223,0,0,0,0,0,1,0,0,0,1,[],[],[],[],[],['jewish'],[],[],[],['hamas'],45
20,Democratic Party,418700.0,357,0.5,"December 07, 2023 10:10 PM","This Week in Hasbara (w/ @AbbyMartin)  ""We cant forget that the Jerusalem Post run by @AviMayer, whos essentially a stenographer for the IDF hes essentially a military propagandist running one of the biggest newspapers in Israel. They had the audacity to try to discredit &",1886,812,216,129980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0,0,0,0,0,0,0,0,1,0,[],[],[],[],[],[],[],[],['idf'],[],44
41,Republican Party,7000000.0,726,-0.5,"August 15, 2024 01:51 PM","They said this BEFORE Israel took Rafah. They said this BEFORE Israel took the Philadelphia Corridor. They said this BEFORE Israel killed Deif, Haniyeh, and Shukr. So Id take their military opinions with a Dead Sea-worth of salt.",1069,236,104,157540,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.05128205128205128,0,0,0,0,1,0,0,0,0,2,[],[],[],[],['dead'],[],[],[],[],"['deif', 'haniyeh']",39
63,Democratic Party,88800.0,809,0.5,"April 21, 2024 10:15 PM",They release this the day we find out that Israel bombed and killed 12 children from one family in a spree of bombings in Rafah last night.,1739,190,68,50019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],27
60,Democratic Party,1600000.0,955,0.5,"October 31, 2023 11:51 AM","They put ""Israeli"" in quotes for a little more license to attack and dehumanize them. …",2311,218,29,48497,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,['israeli'],[],[],[],[],[],[],[],[],[],15
