Name,Affiliation,Followers,Likes,Retweets,Replies,Views
KyleClark,Democratic Party,237100,1637,99,329,140991
benshapiro,Republican Party,7000000,4669,219,535,835916
RealSpikeCohen,Republican Party,222100,2482,60,560,149981
seanhannity,Republican Party,6700000,206,87,28,58744
seanhannity,Republican Party,6700000,290,205,51,56843
davidsirota,Democratic Party,336700,279,10,90,19636
davidsirota,Democratic Party,336700,380,4,167,18005
kylegriffin1,Democratic Party,1400000,2347,28,393,71921
elonmusk,Republican Party,201800000,10364,499,867,883073
itsJeffTiedrich,Democratic Party,1100000,47821,5915,6761,2406208
bluestein,Democratic Party,143400,267,11,69,30468
bluestein,Democratic Party,143400,313,4,86,10180
bluestein,Democratic Party,143400,186,8,55,30179
SarcasmStardust,Republican Party,127900,816,42,151,16985
SarcasmStardust,Republican Party,127900,556,24,146,11847
SarcasmStardust,Republican Party,127900,816,42,151,16985
SteveSchmidtSES,Democratic Party,1500000,340,13,117,84830
SteveSchmidtSES,Democratic Party,1500000,1238,92,254,101793
SteveSchmidtSES,Democratic Party,1500000,893,52,259,90604
benshapiro,Republican Party,7000000,2273,977,325,240186
benshapiro,Republican Party,7000000,31283,2113,5362,1271302
IngrahamAngle,Republican Party,4900000,486,122,97,35781
IngrahamAngle,Republican Party,4900000,224,38,62,62600
IngrahamAngle,Republican Party,4900000,228,89,51,44361
IngrahamAngle,Republican Party,4900000,381,113,115,48247
IngrahamAngle,Republican Party,4900000,721,127,202,54359
TheRickWilson,Democratic Party,1600000,3333,90,317,77287
TheRickWilson,Democratic Party,1600000,2308,29,218,48501
FreemansMind96,Republican Party,"4,682",335,18,33,113955
KyleKulinski,Democratic Party,462300,979,127,194,61992
seanhannity,Republican Party,6700000,381,428,331,93259
seanhannity,Republican Party,6700000,240,60,122,61263
seanhannity,Republican Party,6700000,247,52,46,47174
seanhannity,Republican Party,6700000,213,67,58,58866
seanhannity,Republican Party,6700000,894,76,122,52326
funder,Democratic Party,1100000,10974,5349,4273,403524
LeeCamp,Other,226700,439,13,258,12839
LeeCamp,Other,226700,953,40,480,47914
LeeCamp,Other,226700,684,47,293,23735
mmpadellan,Democratic Party,1300000,3901,1216,2149,248025
mmpadellan,Democratic Party,1300000,5008,406,1192,123302
mmpadellan,Democratic Party,1300000,29184,2881,7337,730899
charliekirk11,Republican Party,3600000,1733,425,361,236487
charliekirk11,Republican Party,3600000,2543,279,614,529645
charliekirk11,Republican Party,3600000,27338,1184,10495,2560230
davidsirota,Democratic Party,336700,623,77,161,25643
kylegriffin1,Democratic Party,1400000,2740,97,327,158065
kylegriffin1,Democratic Party,1400000,4118,65,995,202784
TuckerCarlson,Republican Party,14100000,54664,4104,18329,11631844
elonmusk,Republican Party,201800000,148075,17949,26071,25440223
elonmusk,Republican Party,201800000,44171,8362,10486,6449765
elonmusk,Republican Party,201800000,261387,18156,28151,85680598
elonmusk,Republican Party,201800000,34204,5066,7055,48395909
bluestein,Democratic Party,143400,411,4,103,16661
bluestein,Democratic Party,143400,264,16,44,22402
bluestein,Democratic Party,143400,838,31,298,112101
SarcasmStardust,Republican Party,127900,204,3,62,3326
SteveSchmidtSES,Democratic Party,1500000,888,180,255,78054
SteveSchmidtSES,Democratic Party,1500000,4259,314,1586,228247
SteveSchmidtSES,Democratic Party,1500000,798,70,190,99067
SteveSchmidtSES,Democratic Party,1500000,742,41,119,103161
SocialistMMA,Other,143800,677,56,263,54065
SocialistMMA,Other,143800,278,5,118,8446
SocialistMMA,Other,143800,243,4,66,7716
gtconway3d,Republican Party,2300000,5825,752,2058,1651043
SabbySabs2,Democratic Party,75700,579,18,257,16724
SabbySabs2,Democratic Party,75700,509,33,194,13017
SabbySabs2,Democratic Party,75700,270,38,158,6406
SabbySabs2,Democratic Party,75700,676,45,299,14821
TristanSnell,Democratic Party,571900,104229,9418,31308,3834124
TristanSnell,Democratic Party,571900,63389,3049,18393,956647
TristanSnell,Democratic Party,571900,24601,2686,8352,679719
BillOReilly,Republican Party,3300000,2652,53,448,116326
BillOReilly,Republican Party,3300000,221,24,34,36825
BillOReilly,Republican Party,3300000,263,17,41,96614
KyleClark,Democratic Party,237100,254,63,89,39714
BobMurphyEcon,Republican Party,103800,566,59,80,47164
BobMurphyEcon,Republican Party,103800,254,3,21,21861
BobMurphyEcon,Republican Party,103800,209,19,20,11859
ThomasEWoods,Republican Party,189500,337,17,34,7299
ThomasEWoods,Republican Party,189500,439,96,33,25360
TomFitton,Republican Party,2700000,249,30,130,17395
TomFitton,Republican Party,2700000,546,54,240,30359
TomFitton,Republican Party,2700000,216,18,71,35429
brad_polumbo,Republican Party,65800,233,19,39,11084
brad_polumbo,Republican Party,65800,383,21,33,86242
brad_polumbo,Republican Party,65800,474,119,154,59665
brad_polumbo,Republican Party,65800,1340,79,119,54722
RonFilipkowski,Democratic Party,1000000,2369,252,702,58467
RonFilipkowski,Democratic Party,1000000,1523,103,363,66540
RonFilipkowski,Democratic Party,1000000,813,53,318,133779
RonFilipkowski,Democratic Party,1000000,1442,1015,477,159490
anthonyzenkus,Democratic Party,88800,795,57,539,53721
anthonyzenkus,Democratic Party,88800,253,34,150,7048
anthonyzenkus,Democratic Party,88800,231,6,12,2394
IngrahamAngle,Republican Party,4900000,574,85,144,44488
ComicDaveSmith,Republican Party,570400,243,26,4,6713
FreemansMind96,Republican Party,"4,682",335,18,32,113991
FreemansMind96,Republican Party,"4,682",248,9,4,3929
RonFilipkowski,Democratic Party,1000000,34702,4781,18719,10771975
RonFilipkowski,Democratic Party,1000000,3040,306,599,552259
RonFilipkowski,Democratic Party,1000000,1049,136,344,99366
KyleKulinski,Democratic Party,462300,1788,131,558,78249
KyleKulinski,Democratic Party,462300,1368,60,405,55284
KyleKulinski,Democratic Party,462300,1066,47,273,53198
funder,Democratic Party,1100000,336,59,161,8725
mmpadellan,Democratic Party,1300000,884,110,173,32425
krystalball,Democratic Party,587700,896,52,477,44360
krystalball,Democratic Party,587700,1747,181,666,147445
krystalball,Democratic Party,587700,236,17,46,18791
jimmy_dore,Other,628500,8504,503,2964,779606
jimmy_dore,Other,628500,225,52,47,37260
jimmy_dore,Other,628500,1056,85,296,31438
jimmy_dore,Other,628500,233,69,67,49538
davidsirota,Democratic Party,336700,443,11,55,30879
gtconway3d,Republican Party,2300000,290,29,95,80385
gtconway3d,Republican Party,2300000,1813,53,520,299526
Jaybefaunt,Republican Party,54500,310,12,94,5066
Jaybefaunt,Republican Party,54500,750,50,557,54824
BernardKerik,Republican Party,328900,212,15,151,6788
BernardKerik,Republican Party,328900,895,125,426,75963
BernardKerik,Republican Party,328900,203,12,51,6566
BernardKerik,Republican Party,328900,296,13,76,9125
TomFitton,Republican Party,2700000,420,48,207,48280
TomFitton,Republican Party,2700000,346,79,184,39601
TomFitton,Republican Party,2700000,842,39,385,32964
IngrahamAngle,Republican Party,4900000,367,86,96,49103
seanhannity,Republican Party,6700000,322,53,66,44683
seanhannity,Republican Party,6700000,488,45,78,34969
charliekirk11,Republican Party,3600000,7128,1640,3149,751952
charliekirk11,Republican Party,3600000,941,76,137,100970
charliekirk11,Republican Party,3600000,3966,566,1302,198577
charliekirk11,Republican Party,3600000,848,116,277,108328
AnnCoulter,Republican Party,2100000,480,85,64,45592
AnnCoulter,Republican Party,2100000,304,38,61,25643
AnnCoulter,Republican Party,2100000,845,63,281,46496
AnnCoulter,Republican Party,2100000,346,62,69,28092
PatTheSocialist,Republican Party,71800,1635,34,798,26581
PatTheSocialist,Republican Party,71800,478,3,163,7863
PatTheSocialist,Republican Party,71800,633,31,378,17619
TristanSnell,Democratic Party,571900,21941,1194,9529,332214
TristanSnell,Democratic Party,571900,25408,1348,8034,390848
BobMurphyEcon,Republican Party,103800,1070,123,181,92448
BarbMcQuade,Democratic Party,704200,681,14,60,24966
anthonyzenkus,Democratic Party,88800,1008,52,733,30333
anthonyzenkus,Democratic Party,88800,533,34,313,21801
anthonyzenkus,Democratic Party,88800,587,29,365,12180
benshapiro,Republican Party,7000000,485,40,57,70260
benshapiro,Republican Party,7000000,21490,8702,2973,2226858
briebriejoy,Democratic Party,418700,214,18,69,19487
briebriejoy,Democratic Party,418700,205,23,52,15122
briebriejoy,Democratic Party,418700,836,35,268,36386
briebriejoy,Democratic Party,418700,1821,477,944,158310
fred_guttenberg,Democratic Party,524700,261,22,48,18933
fred_guttenberg,Democratic Party,524700,494,19,170,19843
fred_guttenberg,Democratic Party,524700,569,30,202,25345
LeeCamp,Other,226700,802,33,433,21116
LeeCamp,Other,226700,1210,54,911,139647
LeeCamp,Other,226700,732,47,422,29646
JordanChariton,Democratic Party,128400,311,22,121,11972
JordanChariton,Democratic Party,128400,193,4,64,14613
JordanChariton,Democratic Party,128400,1387,2,135,34257
JordanChariton,Democratic Party,128400,10957,39,2984,546677
JordanChariton,Democratic Party,128400,560,19,113,8629
kylegriffin1,Democratic Party,1400000,3955,123,739,192258
SarcasmStardust,Republican Party,127900,578,56,144,13945
SarcasmStardust,Republican Party,127900,383,11,177,19027
SarcasmStardust,Republican Party,127900,709,38,194,11655
SarcasmStardust,Republican Party,127900,972,68,262,15417
SarcasmStardust,Republican Party,127900,709,38,194,11655
SocialistMMA,Other,143800,391,15,158,9127
SocialistMMA,Other,143800,355,22,124,6632
